"Date_Check","Soil_Temp","Air_Temp","Soil_Moisture","Relative_Humidity","PAR","Plot_Name"
2018-11-01 00:00:00,50.356,48.315,0.322,85.9,1.2,"HH115"
2018-11-01 01:00:00,50.311,48.538,0.3213,88.1,1.2,"HH115"
2018-11-01 02:00:00,50.223,47.959,0.3242,88.4,1.2,"HH115"
2018-11-01 03:00:00,50.18,48.182,0.322,86,1.2,"HH115"
2018-11-01 04:00:00,50.092,48.315,0.3264,73.6,1.2,"HH115"
2018-11-01 05:00:00,49.959,47.914,0.3242,73,1.2,"HH115"
2018-11-01 06:00:00,49.825,47.602,0.3257,74.1,1.2,"HH115"
2018-11-01 07:00:00,49.737,47.914,0.3257,75.1,1.2,"HH115"
2018-11-01 08:00:00,49.604,48.272,0.3264,75.5,1.2,"HH115"
2018-11-01 09:00:00,49.516,48.049,0.3271,75.3,1.2,"HH115"
2018-11-01 10:00:00,49.428,48.45,0.3264,76.2,3.7,"HH115"
2018-11-01 11:00:00,49.383,48.85,0.3242,76.7,8.7,"HH115"
2018-11-01 12:00:00,49.338,50.002,0.3257,72.7,36.2,"HH115"
2018-11-01 13:00:00,49.338,51.062,0.3257,66.9,53.7,"HH115"
2018-11-01 14:00:00,49.383,50.841,0.3264,65.5,51.2,"HH115"
2018-11-01 15:00:00,49.428,49.692,0.325,67.2,48.7,"HH115"
2018-11-01 16:00:00,49.471,48.004,0.3257,70.6,13.7,"HH115"
2018-11-01 17:00:00,49.383,47.467,0.325,75.4,13.7,"HH115"
2018-11-01 18:00:00,49.249,46.481,0.325,77,1.2,"HH115"
2018-11-01 19:00:00,49.161,45.806,0.3242,78.4,1.2,"HH115"
2018-11-01 20:00:00,49.028,45.127,0.325,78.5,1.2,"HH115"
2018-11-01 21:00:00,48.895,44.582,0.3242,79.2,1.2,"HH115"
2018-11-01 22:00:00,48.762,44.173,0.3257,80.2,1.2,"HH115"
2018-11-01 23:00:00,48.628,43.808,0.325,81.2,1.2,"HH115"
2018-11-02 00:00:00,48.493,43.534,0.325,82.5,1.2,"HH115"
2018-11-02 01:00:00,48.405,42.939,0.3257,81.5,1.2,"HH115"
2018-11-02 02:00:00,48.315,42.247,0.3242,82.6,1.2,"HH115"
2018-11-02 03:00:00,48.227,41.508,0.3242,84.5,1.2,"HH115"
2018-11-02 04:00:00,48.137,39.031,0.3264,86.5,1.2,"HH115"
2018-11-02 05:00:00,48.004,38.273,0.3257,90.3,1.2,"HH115"
2018-11-02 06:00:00,47.871,37.989,0.325,92,1.2,"HH115"
2018-11-02 07:00:00,47.691,36.747,0.325,92.2,1.2,"HH115"
2018-11-02 08:00:00,47.512,36.025,0.3235,92.9,1.2,"HH115"
2018-11-02 09:00:00,47.289,35.395,0.3235,93.6,1.2,"HH115"
2018-11-02 10:00:00,47.109,39.313,0.3228,94,16.2,"HH115"
2018-11-02 11:00:00,47.019,43.716,0.3228,88.4,31.2,"HH115"
2018-11-02 12:00:00,47.019,45.669,0.3235,78.6,43.7,"HH115"
2018-11-02 13:00:00,47.154,47.691,0.3228,69.9,51.2,"HH115"
2018-11-02 14:00:00,47.334,47.736,0.3235,66,48.7,"HH115"
2018-11-02 15:00:00,47.467,49.028,0.3228,61.6,63.7,"HH115"
2018-11-02 16:00:00,47.647,48.895,0.3228,60.3,43.7,"HH115"
2018-11-02 17:00:00,47.781,46.796,0.3228,67.1,23.7,"HH115"
2018-11-02 18:00:00,47.826,45.534,0.3228,73.8,8.7,"HH115"
2018-11-02 19:00:00,47.826,43.763,0.3228,77.5,1.2,"HH115"
2018-11-02 20:00:00,47.781,42.202,0.3228,82.2,1.2,"HH115"
2018-11-02 21:00:00,47.736,42.57,0.3228,84.8,1.2,"HH115"
2018-11-02 22:00:00,47.647,42.57,0.3235,84.2,1.2,"HH115"
2018-11-02 23:00:00,47.602,42.156,0.3228,83.7,1.2,"HH115"
2018-11-03 00:00:00,47.512,40.905,0.3235,85.4,1.2,"HH115"
2018-11-03 01:00:00,47.467,39.36,0.3228,86.4,1.2,"HH115"
2018-11-03 02:00:00,47.334,38.322,0.3228,89.3,1.2,"HH115"
2018-11-03 03:00:00,47.199,36.651,0.3213,91.4,1.2,"HH115"
2018-11-03 04:00:00,47.019,35.249,0.322,92.9,1.2,"HH115"
2018-11-03 05:00:00,46.796,34.664,0.3213,94.1,1.2,"HH115"
2018-11-03 06:00:00,46.571,33.978,0.3213,94.8,1.2,"HH115"
2018-11-03 07:00:00,46.346,33.732,0.322,95.3,1.2,"HH115"
2018-11-03 08:00:00,46.121,32.142,0.3235,95.8,1.2,"HH115"
2018-11-03 09:00:00,45.896,34.957,0.3228,96.1,3.7,"HH115"
2018-11-03 10:00:00,45.714,37.798,0.3177,95.9,21.2,"HH115"
2018-11-03 11:00:00,45.624,42.156,0.3177,90.4,23.7,"HH115"
2018-11-03 12:00:00,45.714,45.082,0.3184,78.7,48.7,"HH115"
2018-11-03 13:00:00,45.896,46.166,0.3177,69.3,51.2,"HH115"
2018-11-03 14:00:00,46.076,47.826,0.317,64.4,56.2,"HH115"
2018-11-03 15:00:00,46.256,47.467,0.3162,65.2,36.2,"HH115"
2018-11-03 16:00:00,46.391,47.781,0.3162,64.2,36.2,"HH115"
2018-11-03 17:00:00,46.526,46.931,0.317,63.7,23.7,"HH115"
2018-11-03 18:00:00,46.616,45.896,0.3148,63.9,6.2,"HH115"
2018-11-03 19:00:00,46.661,45.172,0.3148,65.6,1.2,"HH115"
2018-11-03 20:00:00,46.616,45.127,0.3148,68.6,1.2,"HH115"
2018-11-03 21:00:00,46.616,44.627,0.3141,73.5,1.2,"HH115"
2018-11-03 22:00:00,46.616,44.037,0.3141,81.7,1.2,"HH115"
2018-11-03 23:00:00,46.616,43.306,0.3082,89.1,1.2,"HH115"
2018-11-04 00:00:00,46.616,43.488,0.3082,93.4,1.2,"HH115"
2018-11-04 01:00:00,46.616,43.671,0.3112,94.4,1.2,"HH115"
2018-11-04 01:00:00,NA,NA,NA,NA,NA,NA
2018-11-04 02:00:00,46.616,45.036,0.3112,91.8,1.2,"HH115"
2018-11-04 03:00:00,46.661,44.037,0.3112,90.7,1.2,"HH115"
2018-11-04 04:00:00,46.661,43.945,0.3112,94.1,1.2,"HH115"
2018-11-04 05:00:00,46.706,44.127,0.3082,95.6,1.2,"HH115"
2018-11-04 06:00:00,46.706,45.579,0.3097,95.5,1.2,"HH115"
2018-11-04 07:00:00,46.706,46.391,0.3104,91.5,1.2,"HH115"
2018-11-04 08:00:00,46.751,47.826,0.3104,87.4,1.2,"HH115"
2018-11-04 09:00:00,46.751,48.895,0.3104,82.2,1.2,"HH115"
2018-11-04 10:00:00,46.796,49.649,0.3126,81,8.7,"HH115"
2018-11-04 11:00:00,46.886,47.602,0.309,81.1,8.7,"HH115"
2018-11-04 12:00:00,46.931,47.154,0.3177,90.5,16.2,"HH115"
2018-11-04 13:00:00,47.019,47.512,0.3228,91.6,28.7,"HH115"
2018-11-04 14:00:00,47.109,48.182,0.3308,93.6,36.2,"HH115"
2018-11-04 15:00:00,47.199,48.895,0.3366,94.5,43.7,"HH115"
2018-11-04 16:00:00,47.377,49.471,0.3446,94.8,26.2,"HH115"
2018-11-04 17:00:00,47.512,49.649,0.3671,95.9,6.2,"HH115"
2018-11-04 18:00:00,47.691,50.356,0.3758,97,1.2,"HH115"
2018-11-04 19:00:00,47.826,51.237,0.3787,97.6,1.2,"HH115"
2018-11-04 20:00:00,48.049,51.325,0.3693,98,1.2,"HH115"
2018-11-04 21:00:00,48.227,50.974,0.3656,97.6,1.2,"HH115"
2018-11-04 22:00:00,48.36,49.516,0.3642,97.6,1.2,"HH115"
2018-11-04 23:00:00,48.45,49.204,0.3562,98,1.2,"HH115"
2018-11-05 00:00:00,48.493,47.377,0.3533,97,1.2,"HH115"
2018-11-05 01:00:00,48.45,46.931,0.3511,96.8,1.2,"HH115"
2018-11-05 02:00:00,48.405,46.211,0.3475,97.3,1.2,"HH115"
2018-11-05 03:00:00,48.36,45.624,0.346,97.2,1.2,"HH115"
2018-11-05 04:00:00,48.315,44.946,0.3438,97,1.2,"HH115"
2018-11-05 05:00:00,48.227,43.763,0.3431,96.2,1.2,"HH115"
2018-11-05 06:00:00,48.182,43.579,0.3417,95.4,1.2,"HH115"
2018-11-05 07:00:00,48.049,43.534,0.3424,95.1,1.2,"HH115"
2018-11-05 08:00:00,47.959,43.534,0.3402,94.9,1.2,"HH115"
2018-11-05 09:00:00,47.914,43.443,0.3395,95.3,1.2,"HH115"
2018-11-05 10:00:00,47.826,43.808,0.3388,94.8,26.2,"HH115"
2018-11-05 11:00:00,47.781,44.445,0.338,94.3,51.2,"HH115"
2018-11-05 12:00:00,47.781,46.481,0.3366,91.5,111.2,"HH115"
2018-11-05 13:00:00,47.826,47.154,0.3358,87.3,88.7,"HH115"
2018-11-05 14:00:00,47.914,49.028,0.3358,83.6,108.7,"HH115"
2018-11-05 15:00:00,48.004,49.649,0.3344,79.2,96.2,"HH115"
2018-11-05 16:00:00,48.137,49.516,0.3329,77,73.7,"HH115"
2018-11-05 17:00:00,48.182,49.028,0.3329,77.4,36.2,"HH115"
2018-11-05 18:00:00,48.182,48.004,0.3315,81.7,3.7,"HH115"
2018-11-05 19:00:00,48.182,47.959,0.3315,82.9,1.2,"HH115"
2018-11-05 20:00:00,48.137,47.959,0.3308,83.8,1.2,"HH115"
