"Date_Check","Soil_Temp","Air_Temp","Soil_Moisture","Relative_Humidity","PAR","Plot_Name"
2018-05-01 00:00:00,9.04,17.4627777777778,0.1891,31.2,1.2,"N115"
2018-05-01 01:00:00,8.99,16.4388888888889,0.1891,34,1.2,"N115"
2018-05-01 02:00:00,8.965,16.2961111111111,0.1891,36.4,1.2,"N115"
2018-05-01 03:00:00,8.91611111111111,16.2961111111111,0.1884,36.2,1.2,"N115"
2018-05-01 04:00:00,8.86611111111111,15.1272222222222,0.1884,38.5,1.2,"N115"
2018-05-01 05:00:00,8.81722222222222,14.05,0.1884,42.3,1.2,"N115"
2018-05-01 06:00:00,8.76722222222222,13.3288888888889,0.1884,44.5,1.2,"N115"
2018-05-01 07:00:00,8.71722222222222,13.0877777777778,0.1877,47.5,6.2,"N115"
2018-05-01 08:00:00,8.66777777777778,14.7677777777778,0.1877,48,51.2,"N115"
2018-05-01 09:00:00,8.61777777777778,18.0811111111111,0.1855,44.5,208.7,"N115"
2018-05-01 10:00:00,8.56777777777778,21.2938888888889,0.1855,40.4,396.2,"N115"
2018-05-01 11:00:00,8.61777777777778,24.0022222222222,0.1826,38.1,588.7,"N115"
2018-05-01 12:00:00,8.74222222222222,27.0377777777778,0.1833,35.3,713.7,"N115"
2018-05-01 13:00:00,8.965,28.5177777777778,0.1833,33.7,748.7,"N115"
2018-05-01 14:00:00,9.21277777777778,29.59,0.1826,31.1,768.7,"N115"
2018-05-01 15:00:00,9.50888888888889,29.665,0.1833,28.4,766.2,"N115"
2018-05-01 16:00:00,9.82888888888889,30.1922222222222,0.1833,27.3,573.7,"N115"
2018-05-01 17:00:00,10.1,28.7422222222222,0.1833,26.9,411.2,"N115"
2018-05-01 18:00:00,10.32,27.9738888888889,0.1826,28.6,236.2,"N115"
2018-05-01 19:00:00,10.4922222222222,26.9161111111111,0.1826,29,151.2,"N115"
2018-05-01 20:00:00,10.59,25.695,0.1826,31.5,43.7,"N115"
2018-05-01 21:00:00,10.6627777777778,24.2427777777778,0.1819,36.3,3.7,"N115"
2018-05-01 22:00:00,10.6627777777778,23.8327777777778,0.1826,39.3,1.2,"N115"
2018-05-01 23:00:00,10.6627777777778,23.4,0.1819,41.6,1.2,"N115"
2018-05-02 00:00:00,10.6377777777778,22.7527777777778,0.1819,43.7,1.2,"N115"
2018-05-02 01:00:00,10.6138888888889,21.8188888888889,0.1819,47,1.2,"N115"
2018-05-02 02:00:00,10.6138888888889,21.1027777777778,0.1811,48.1,1.2,"N115"
2018-05-02 03:00:00,10.59,20.5788888888889,0.1811,49.4,1.2,"N115"
2018-05-02 04:00:00,10.565,20.3877777777778,0.1811,51.9,1.2,"N115"
2018-05-02 05:00:00,10.5411111111111,20.1977777777778,0.1804,52.7,1.2,"N115"
2018-05-02 06:00:00,10.5161111111111,19.5077777777778,0.1804,55,1.2,"N115"
2018-05-02 07:00:00,10.4922222222222,18.8661111111111,0.1797,57.1,3.7,"N115"
2018-05-02 08:00:00,10.4672222222222,20.2461111111111,0.1797,56.3,61.2,"N115"
2018-05-02 09:00:00,10.4427777777778,22.2738888888889,0.179,52.6,188.7,"N115"
2018-05-02 10:00:00,10.4427777777778,24.2672222222222,0.1782,46.4,266.2,"N115"
2018-05-02 11:00:00,10.4922222222222,23.665,0.1775,45.2,363.7,"N115"
2018-05-02 12:00:00,10.59,26.2311111111111,0.1768,42,646.2,"N115"
2018-05-02 13:00:00,10.7361111111111,26.9888888888889,0.1768,39.5,613.7,"N115"
2018-05-02 14:00:00,10.9072222222222,28.295,0.1768,38.7,686.2,"N115"
2018-05-02 15:00:00,11.1272222222222,30.4438888888889,0.1768,40.1,566.2,"N115"
2018-05-02 16:00:00,11.3461111111111,29.365,0.1761,39.6,486.2,"N115"
2018-05-02 17:00:00,11.565,26.6711111111111,0.1761,43,158.7,"N115"
2018-05-02 18:00:00,12.7988888888889,23.665,0.2167,85.6,176.2,"N115"
2018-05-02 19:00:00,12.2677777777778,22.1538888888889,0.2124,84.8,71.2,"N115"
2018-05-02 20:00:00,12.2188888888889,20.3411111111111,0.2204,87.2,16.2,"N115"
2018-05-02 21:00:00,12.2677777777778,19.08,0.2218,92.8,1.2,"N115"
2018-05-02 22:00:00,12.2188888888889,17.8911111111111,0.2218,93.5,1.2,"N115"
2018-05-02 23:00:00,12.1711111111111,17.7238888888889,0.2211,94.9,1.2,"N115"
2018-05-03 00:00:00,12.2922222222222,18.4377777777778,0.3576,97.1,1.2,"N115"
2018-05-03 01:00:00,12.9438888888889,17.8672222222222,0.386,98.2,1.2,"N115"
2018-05-03 02:00:00,12.9677777777778,17.13,0.3816,98.7,1.2,"N115"
2018-05-03 03:00:00,12.775,17.13,0.2342,99.1,1.2,"N115"
2018-05-03 04:00:00,12.7027777777778,16.9872222222222,0.2334,99.4,1.2,"N115"
2018-05-03 05:00:00,12.7511111111111,16.8922222222222,0.2334,99.6,1.2,"N115"
2018-05-03 06:00:00,12.92,15.8911111111111,0.2356,99.9,1.2,"N115"
2018-05-03 07:00:00,12.8711111111111,15.9627777777778,0.2363,100,1.2,"N115"
2018-05-03 08:00:00,12.8472222222222,16.415,0.2371,100,21.2,"N115"
2018-05-03 09:00:00,12.775,16.7011111111111,0.2371,100,31.2,"N115"
2018-05-03 10:00:00,12.7511111111111,18.105,0.2313,100,193.7,"N115"
2018-05-03 11:00:00,12.7027777777778,19.9838888888889,0.2276,97.5,328.7,"N115"
