"Plot_Name","Date_Time","Soil_Moisture","Relative_Humidity","PAR","Soil_Temp","Air_Temp"
"B127",2017-09-01 00:00:00,0.0134,88.6,1.2,18.1288888888889,16.01
"B127",2017-09-01 01:00:00,0.0134,92.4,1.2,18.0327777777778,14.625
"B127",2017-09-01 02:00:00,0.0134,90.6,1.2,17.8911111111111,15.7477777777778
"B127",2017-09-01 03:00:00,0.0134,78.5,1.2,17.7722222222222,15.9861111111111
"B127",2017-09-01 04:00:00,0.0134,77.6,1.2,17.6772222222222,15.4611111111111
"B127",2017-09-01 05:00:00,0.0134,79.6,1.2,17.5577777777778,14.6011111111111
"B127",2017-09-01 06:00:00,0.0134,78.5,1.2,17.4388888888889,14.0261111111111
"B127",2017-09-01 07:00:00,0.0126,77.7,1.2,17.2961111111111,13.57
"B127",2017-09-01 08:00:00,0.0126,79.1,11.2,17.13,14.2661111111111
"B127",2017-09-01 09:00:00,0.0126,71.9,33.7,17.0338888888889,15.5088888888889
"B127",2017-09-01 10:00:00,0.0126,63.8,113.7,17.0111111111111,16.8922222222222
"B127",2017-09-01 11:00:00,0.0126,57.1,233.7,17.0822222222222,18.105
"B127",2017-09-01 12:00:00,0.0126,56.5,111.2,17.3438888888889,18.58
"B127",2017-09-01 13:00:00,0.0126,59.6,98.7,17.605,19.175
"B127",2017-09-01 14:00:00,0.0126,54.3,71.2,17.7722222222222,19.6272222222222
"B127",2017-09-01 15:00:00,0.0126,51.2,96.2,17.8672222222222,19.46
"B127",2017-09-01 16:00:00,0.0126,52.5,28.7,17.9377777777778,19.1272222222222
"B127",2017-09-01 17:00:00,0.0119,55.9,38.7,17.9622222222222,18.6038888888889
"B127",2017-09-01 18:00:00,0.0119,60.5,8.7,17.915,17.7477777777778
"B127",2017-09-01 19:00:00,0.0119,64.6,1.2,17.8188888888889,16.915
"B127",2017-09-01 20:00:00,0.0119,70.2,1.2,17.6772222222222,15.2227777777778
"B127",2017-09-01 21:00:00,0.0119,77.6,1.2,17.51,14.0738888888889
"B127",2017-09-01 22:00:00,0.0112,80.6,1.2,17.32,14.1222222222222
"B127",2017-09-01 23:00:00,0.0112,80.4,1.2,17.1527777777778,13.1611111111111
"B127",2017-09-02 00:00:00,0.0112,82.9,1.2,17.0111111111111,13.1611111111111
"B127",2017-09-02 01:00:00,0.0112,84.2,1.2,16.8677777777778,12.485
"B127",2017-09-02 02:00:00,0.0112,86.8,1.2,16.7011111111111,11.5161111111111
"B127",2017-09-02 03:00:00,0.0112,88.9,1.2,16.5577777777778,11.2477777777778
"B127",2017-09-02 04:00:00,0.0112,86.6,1.2,16.3922222222222,10.565
"B127",2017-09-02 05:00:00,0.0112,85.1,1.2,16.2011111111111,10.4177777777778
"B127",2017-09-02 06:00:00,0.0105,84.9,1.2,16.0338888888889,9.78
"B127",2017-09-02 07:00:00,0.0105,85.1,1.2,15.8672222222222,10.0511111111111
"B127",2017-09-02 08:00:00,0.0105,85.2,11.2,15.7477777777778,12.485
"B127",2017-09-02 09:00:00,0.0105,80.2,26.2,15.7,14.8161111111111
"B127",2017-09-02 10:00:00,0.0105,67.6,111.2,15.7961111111111,17.1527777777778
"B127",2017-09-02 11:00:00,0.0112,57.9,198.7,16.01,18.3188888888889
"B127",2017-09-02 12:00:00,0.0112,53.9,48.7,16.3922222222222,19.9361111111111
"B127",2017-09-02 13:00:00,0.0112,50.5,53.7,16.7727777777778,21.2938888888889
"B127",2017-09-02 14:00:00,0.0112,51.3,53.7,17.1061111111111,20.2688888888889
"B127",2017-09-02 15:00:00,0.0112,50.1,56.2,17.2961111111111,21.6522222222222
"B127",2017-09-02 16:00:00,0.0105,46.8,38.7,17.4627777777778,21.8672222222222
"B127",2017-09-02 17:00:00,0.0105,47,31.2,17.605,22.3927777777778
"B127",2017-09-02 18:00:00,0.0105,47,11.2,17.6772222222222,21.3661111111111
"B127",2017-09-02 19:00:00,0.0105,51.5,1.2,17.6527777777778,20.6027777777778
"B127",2017-09-02 20:00:00,0.025,85.5,1.2,17.5577777777778,14.7211111111111
"B127",2017-09-02 21:00:00,0.0235,96.5,1.2,17.3438888888889,15.1272222222222
"B127",2017-09-02 22:00:00,0.0228,97.3,1.2,17.1772222222222,15.1988888888889
"B127",2017-09-02 23:00:00,0.0228,97.2,1.2,17.0822222222222,15.0788888888889
"B127",2017-09-03 00:00:00,0.0221,96.6,1.2,16.9627777777778,14.6972222222222
"B127",2017-09-03 01:00:00,0.0221,97.1,1.2,16.8438888888889,13.9061111111111
"B127",2017-09-03 02:00:00,0.0214,98,1.2,16.7488888888889,14.0261111111111
"B127",2017-09-03 03:00:00,0.0221,98.1,1.2,16.6061111111111,13.6661111111111
"B127",2017-09-03 04:00:00,0.0221,98.6,1.2,16.5111111111111,13.425
"B127",2017-09-03 05:00:00,0.0214,99.1,1.2,16.3922222222222,13.305
"B127",2017-09-03 06:00:00,0.0214,99.3,1.2,16.2961111111111,13.425
"B127",2017-09-03 07:00:00,0.0214,99.6,1.2,16.2011111111111,13.9061111111111
"B127",2017-09-03 08:00:00,0.0214,99.6,8.7,16.1772222222222,15.1272222222222
"B127",2017-09-03 09:00:00,0.0214,98.9,21.2,16.225,17.7961111111111
"B127",2017-09-03 10:00:00,0.0214,92.1,66.2,16.415,20.5311111111111
"B127",2017-09-03 11:00:00,0.0214,76.5,256.2,16.7961111111111,23.04
"B127",2017-09-03 12:00:00,0.0214,68.3,46.2,17.3677777777778,24.0977777777778
"B127",2017-09-03 13:00:00,0.0221,59.3,61.2,17.915,25.0161111111111
"B127",2017-09-03 14:00:00,0.0214,51,48.7,18.3188888888889,25.5977777777778
"B127",2017-09-03 15:00:00,0.0206,49,48.7,18.5572222222222,25.5011111111111
"B127",2017-09-03 16:00:00,0.0206,47.8,26.2,18.7711111111111,25.8172222222222
"B127",2017-09-03 17:00:00,0.0206,48.2,58.7,18.9611111111111,25.4277777777778
"B127",2017-09-03 18:00:00,0.0199,49.3,8.7,19.0561111111111,24.315
"B127",2017-09-03 19:00:00,0.0199,52.6,3.7,19.08,23.0161111111111
"B127",2017-09-03 20:00:00,0.0192,57.9,1.2,19.0322222222222,22.8722222222222
"B127",2017-09-03 21:00:00,0.0192,61.8,1.2,18.9372222222222,21.6277777777778
"B127",2017-09-03 22:00:00,0.0192,67.5,1.2,18.8177777777778,20.7222222222222
"B127",2017-09-03 23:00:00,0.0184,70,1.2,18.675,20.2222222222222
"B127",2017-09-04 00:00:00,0.0184,71.1,1.2,18.5088888888889,19.6511111111111
"B127",2017-09-04 01:00:00,0.0184,71.4,1.2,18.3661111111111,19.2461111111111
"B127",2017-09-04 02:00:00,0.0184,70.8,1.2,18.2,19.3888888888889
"B127",2017-09-04 03:00:00,0.0177,69.6,1.2,18.0572222222222,19.1027777777778
"B127",2017-09-04 04:00:00,0.0177,69.4,1.2,17.915,18.9127777777778
"B127",2017-09-04 05:00:00,0.0177,67.4,1.2,17.7961111111111,19.2222222222222
"B127",2017-09-04 06:00:00,0.0177,64.9,1.2,17.6772222222222,19.865
"B127",2017-09-04 07:00:00,0.017,64.2,1.2,17.5822222222222,19.4127777777778
"B127",2017-09-04 08:00:00,0.017,67.1,8.7,17.5338888888889,19.77
"B127",2017-09-04 09:00:00,0.017,67.9,26.2,17.5338888888889,21.485
"B127",2017-09-04 10:00:00,0.017,69.9,51.2,17.6288888888889,23.7127777777778
"B127",2017-09-04 11:00:00,0.017,68.4,106.2,17.9377777777778,26.3038888888889
"B127",2017-09-04 12:00:00,0.017,66.7,68.7,18.4377777777778,26.5238888888889
"B127",2017-09-04 13:00:00,0.017,70.5,48.7,18.9372222222222,25.7438888888889
"B127",2017-09-04 14:00:00,0.017,75.1,18.7,19.2461111111111,24.7738888888889
"B127",2017-09-04 15:00:00,0.017,84.6,8.7,19.365,22.1538888888889
"B127",2017-09-04 16:00:00,0.017,85.9,18.7,19.3888888888889,22.8961111111111
"B127",2017-09-04 17:00:00,0.017,79.4,13.7,19.3888888888889,22.6811111111111
"B127",2017-09-04 18:00:00,0.0163,77.8,11.2,19.3888888888889,22.345
"B127",2017-09-04 19:00:00,0.0163,71.5,1.2,19.365,21.3422222222222
"B127",2017-09-04 20:00:00,0.0163,72.1,1.2,19.2461111111111,19.6977777777778
"B127",2017-09-04 21:00:00,0.0155,76.1,1.2,19.08,18.2472222222222
"B127",2017-09-04 22:00:00,0.0155,77.1,1.2,18.8888888888889,17.6288888888889
"B127",2017-09-04 23:00:00,0.0155,79.4,1.2,18.675,16.9872222222222
"B127",2017-09-05 00:00:00,0.0155,81.1,1.2,18.4611111111111,16.2488888888889
"B127",2017-09-05 01:00:00,0.0155,83.1,1.2,18.2472222222222,15.3661111111111
"B127",2017-09-05 02:00:00,0.0148,84.6,1.2,18.0327777777778,14.6972222222222
"B127",2017-09-05 03:00:00,0.0148,85.5,1.2,17.8188888888889,14.6727777777778
"B127",2017-09-05 04:00:00,0.0148,84.7,1.2,17.605,13.7377777777778
"B127",2017-09-05 05:00:00,0.0141,87.7,1.2,17.415,12.7272222222222
"B127",2017-09-05 06:00:00,0.0141,89.4,1.2,17.2011111111111,12.1222222222222
"B127",2017-09-05 07:00:00,0.0141,90.7,1.2,16.9872222222222,11.5161111111111
"B127",2017-09-05 08:00:00,0.0141,90.2,6.2,16.7727777777778,12.5338888888889
"B127",2017-09-05 09:00:00,0.0141,84.9,21.2,16.63,13.9061111111111
"B127",2017-09-05 10:00:00,0.0141,79,46.2,16.5822222222222,15.5811111111111
"B127",2017-09-05 11:00:00,0.0134,72.6,198.7,16.6538888888889,17.2961111111111
"B127",2017-09-05 12:00:00,0.0134,68,41.2,16.9627777777778,18.485
"B127",2017-09-05 13:00:00,0.0134,59,68.7,17.2488888888889,19.6272222222222
"B127",2017-09-05 14:00:00,0.0134,56.4,41.2,17.4388888888889,18.6988888888889
"B127",2017-09-05 15:00:00,0.0134,56.1,38.7,17.51,18.3188888888889
"B127",2017-09-05 16:00:00,0.0134,54.2,31.2,17.51,19.1988888888889
"B127",2017-09-05 17:00:00,0.0126,56.4,18.7,17.4861111111111,16.8677777777778
"B127",2017-09-05 18:00:00,0.0126,57.9,11.2,17.3677777777778,16.32
"B127",2017-09-05 19:00:00,0.0126,57.3,1.2,17.2011111111111,15.485
"B127",2017-09-05 20:00:00,0.0126,62.5,1.2,17.0111111111111,14.6011111111111
"B127",2017-09-05 21:00:00,0.0119,67.6,1.2,16.8438888888889,13.4972222222222
"B127",2017-09-05 22:00:00,0.0119,73,1.2,16.6538888888889,12.8472222222222
"B127",2017-09-05 23:00:00,0.0119,78.4,1.2,16.4872222222222,12.2427777777778
"B127",2017-09-06 00:00:00,0.0119,79,1.2,16.2961111111111,12.0011111111111
"B127",2017-09-06 01:00:00,0.0119,82.9,1.2,16.1527777777778,10.9322222222222
"B127",2017-09-06 02:00:00,0.0112,86.7,1.2,15.9861111111111,10.6138888888889
"B127",2017-09-06 03:00:00,0.0119,88.1,1.2,15.8188888888889,10.1977777777778
"B127",2017-09-06 04:00:00,0.0112,90.7,1.2,15.6522222222222,9.65722222222222
"B127",2017-09-06 05:00:00,0.0112,92.2,1.2,15.485,9.50888888888889
