"Plot_Name","Date_Check","Soil_Moisture","Relative_Humidity","PAR","Soil_Temp","Air_Temp"
"B127",2017-12-01 00:00:00,0.277,66.2,1.2,6.83888888888889,3.38
"B127",2017-12-01 01:00:00,0.277,68,1.2,6.73722222222222,2.98277777777778
"B127",2017-12-01 02:00:00,0.277,69.9,1.2,6.63611111111111,2.63722222222222
"B127",2017-12-01 03:00:00,0.2763,72.9,1.2,6.535,1.12611111111111
"B127",2017-12-01 04:00:00,0.2763,74.6,1.2,6.43277777777778,1.28888888888889
"B127",2017-12-01 05:00:00,0.2763,76.3,1.2,6.33111111111111,0.577222222222223
"B127",2017-12-01 06:00:00,0.2763,80.8,1.2,6.23,-0.31111111111111
"B127",2017-12-01 07:00:00,0.2763,81.8,1.2,6.12777777777778,-0.478888888888888
"B127",2017-12-01 08:00:00,0.2763,81.7,1.2,6.02611111111111,-0.394999999999999
"B127",2017-12-01 09:00:00,0.2756,84.5,11.2,5.92388888888889,-0.872777777777779
"B127",2017-12-01 10:00:00,0.2756,83,68.7,5.82111111111111,2.12777777777778
"B127",2017-12-01 11:00:00,0.2763,72.4,126.2,5.79611111111111,5.79611111111111
"B127",2017-12-01 12:00:00,0.277,60.5,211.2,5.79611111111111,8.39388888888889
"B127",2017-12-01 13:00:00,0.2777,52.4,411.2,5.92388888888889,8.99
"B127",2017-12-01 14:00:00,0.2777,49,281.2,6.15277777777778,10.6627777777778
"B127",2017-12-01 15:00:00,0.2777,45.5,298.7,6.38222222222222,11.2238888888889
"B127",2017-12-01 16:00:00,0.2777,45.1,148.7,6.61111111111111,11.1511111111111
"B127",2017-12-01 17:00:00,0.277,44.1,88.7,6.78777777777778,10.2222222222222
"B127",2017-12-01 18:00:00,0.277,45.7,16.2,6.86388888888889,8.94111111111111
"B127",2017-12-01 19:00:00,0.277,48.6,1.2,6.86388888888889,8.145
"B127",2017-12-01 20:00:00,0.2763,51.4,1.2,6.81277777777778,6.94
"B127",2017-12-01 21:00:00,0.2763,54.6,1.2,6.76277777777778,6.02611111111111
"B127",2017-12-01 22:00:00,0.2756,56.6,1.2,6.68722222222222,5.30777777777778
"B127",2017-12-01 23:00:00,0.2756,59,1.2,6.585,4.76611111111111
"B127",2017-12-02 00:00:00,0.2756,60.7,1.2,6.50888888888889,4.50611111111111
"B127",2017-12-02 01:00:00,0.2756,64,1.2,6.40777777777778,3.38
"B127",2017-12-02 02:00:00,0.2756,67.9,1.2,6.33111111111111,2.74388888888889
"B127",2017-12-02 03:00:00,0.2748,70.6,1.2,6.23,2.63722222222222
"B127",2017-12-02 04:00:00,0.2756,72.7,1.2,6.15277777777778,2.45
"B127",2017-12-02 05:00:00,0.2748,74.2,1.2,6.07722222222222,2.66388888888889
"B127",2017-12-02 06:00:00,0.2748,74.3,1.2,6.02611111111111,3.11611111111111
"B127",2017-12-02 07:00:00,0.2748,74.8,1.2,6,2.87722222222222
"B127",2017-12-02 08:00:00,0.2748,76,1.2,5.975,2.69
"B127",2017-12-02 09:00:00,0.2748,75.8,8.7,5.92388888888889,2.71722222222222
"B127",2017-12-02 10:00:00,0.2748,73.6,76.2,5.84722222222222,4.61
"B127",2017-12-02 11:00:00,0.2756,66.9,113.7,5.82111111111111,7.015
"B127",2017-12-02 12:00:00,0.2756,59.3,211.2,5.87222222222222,8.81722222222222
"B127",2017-12-02 13:00:00,0.2763,54.3,408.7,6,10.1
"B127",2017-12-02 14:00:00,0.2763,51.9,296.2,6.255,11.2477777777778
"B127",2017-12-02 15:00:00,0.2763,50.5,251.2,6.50888888888889,12.2922222222222
"B127",2017-12-02 16:00:00,0.2763,49.3,148.7,6.71222222222222,12.485
"B127",2017-12-02 17:00:00,0.2763,47.2,78.7,6.88888888888889,11.6622222222222
"B127",2017-12-02 18:00:00,0.2756,49.9,16.2,6.99,10.2472222222222
"B127",2017-12-02 19:00:00,0.2756,52.8,1.2,7.015,9.65722222222222
"B127",2017-12-02 20:00:00,0.2756,56.8,1.2,6.99,8.56777777777778
"B127",2017-12-02 21:00:00,0.2756,59.3,1.2,6.94,8.02
"B127",2017-12-02 22:00:00,0.2748,62.8,1.2,6.88888888888889,7.16722222222222
"B127",2017-12-02 23:00:00,0.2748,66.1,1.2,6.81277777777778,6.255
"B127",2017-12-03 00:00:00,0.2748,68.6,1.2,6.73722222222222,5.64222222222222
"B127",2017-12-03 01:00:00,0.2741,68.7,1.2,6.66111111111111,5.17888888888889
"B127",2017-12-03 02:00:00,0.2741,71.7,1.2,6.56,3.53777777777778
"B127",2017-12-03 03:00:00,0.2741,73.3,1.2,6.45777777777778,3.90611111111111
"B127",2017-12-03 04:00:00,0.2741,77.2,1.2,6.35722222222222,2.42277777777778
"B127",2017-12-03 05:00:00,0.2741,81.2,1.2,6.28111111111111,1.615
"B127",2017-12-03 06:00:00,0.2734,84.1,1.2,6.17888888888889,1.20777777777778
"B127",2017-12-03 07:00:00,0.2734,86,1.2,6.07722222222222,0.852222222222222
"B127",2017-12-03 08:00:00,0.2734,85.6,1.2,6,1.235
"B127",2017-12-03 09:00:00,0.2734,87.7,8.7,5.89777777777778,0.38388888888889
