"Plot_Name","Date_Time","Soil_Moisture","Relative_Humidity","PAR","Soil_Temp","Air_Temp"
"B127",2019-01-01 00:00:00,0.407,99.5,1.2,3.40611111111111,1.12611111111111
"B127",2019-01-01 01:00:00,0.3787,99.6,1.2,3.40611111111111,1.01722222222222
"B127",2019-01-01 02:00:00,0.3693,99.2,1.2,3.40611111111111,0.825
"B127",2019-01-01 03:00:00,0.3642,98.8,1.2,3.35388888888889,0.328888888888888
"B127",2019-01-01 04:00:00,0.3605,98.5,1.2,3.32722222222222,0.0788888888888906
"B127",2019-01-01 05:00:00,0.3555,98.1,1.2,3.27388888888889,-0.116111111111111
"B127",2019-01-01 06:00:00,0.3526,98,1.2,3.22111111111111,-0.367222222222223
"B127",2019-01-01 07:00:00,0.3475,97.3,1.2,3.16777777777778,-1.04277777777778
"B127",2019-01-01 08:00:00,0.3446,94.8,1.2,3.11611111111111,-1.21277777777778
"B127",2019-01-01 09:00:00,0.3431,94,3.7,3.06277777777778,-1.67
"B127",2019-01-01 10:00:00,0.3409,91.5,28.7,3.00888888888889,-1.72722222222222
"B127",2019-01-01 11:00:00,0.3395,92.4,56.2,2.95611111111111,-1.87111111111111
"B127",2019-01-01 12:00:00,0.338,92.2,66.2,2.90277777777778,-1.87111111111111
"B127",2019-01-01 13:00:00,0.3373,92.9,73.7,2.87722222222222,-1.95777777777778
"B127",2019-01-01 14:00:00,0.3358,93.2,63.7,2.85,-2.27611111111111
"B127",2019-01-01 15:00:00,0.3351,94.1,53.7,2.82277777777778,-2.45
"B127",2019-01-01 16:00:00,0.3344,94.5,38.7,2.79722222222222,-2.47888888888889
"B127",2019-01-01 17:00:00,0.3329,94.1,18.7,2.77,-2.65388888888889
"B127",2019-01-01 18:00:00,0.3322,94,1.2,2.74388888888889,-2.85888888888889
"B127",2019-01-01 19:00:00,0.3315,94.2,1.2,2.71722222222222,-2.85888888888889
"B127",2019-01-01 20:00:00,0.33,94.9,1.2,2.66388888888889,-3.09388888888889
"B127",2019-01-01 21:00:00,0.33,95.5,1.2,2.63722222222222,-3.18277777777778
"B127",2019-01-01 22:00:00,0.3293,95.2,1.2,2.61,-3.24222222222222
"B127",2019-01-01 23:00:00,0.3279,94.8,1.2,2.58388888888889,-3.21222222222222
"B127",2019-01-02 00:00:00,0.3271,94.8,1.2,2.53,-3.18277777777778
"B127",2019-01-02 01:00:00,0.3264,95,1.2,2.50277777777778,-3.21222222222222
"B127",2019-01-02 02:00:00,0.3257,95.1,1.2,2.47722222222222,-3.09388888888889
"B127",2019-01-02 03:00:00,0.3257,95.3,1.2,2.45,-2.88777777777778
"B127",2019-01-02 04:00:00,0.325,95.7,1.2,2.45,-2.68277777777778
"B127",2019-01-02 05:00:00,0.325,96.1,1.2,2.39611111111111,-2.59611111111111
