"Plot_Name","Date_Time","Soil_Moisture","Relative_Humidity","PAR","Soil_Temp","Air_Temp"
"HH115",2018-01-01 00:00:00,0.1666,73.4,1.2,0.632222222222221,-19.4677777777778
"HH115",2018-01-01 01:00:00,0.1659,71.4,1.2,0.604999999999999,-19.9788888888889
"HH115",2018-01-01 02:00:00,0.1659,69.3,1.2,0.604999999999999,-20.4505555555556
"HH115",2018-01-01 03:00:00,0.1652,69.3,1.2,0.604999999999999,-21.2227777777778
"HH115",2018-01-01 04:00:00,0.1652,70,1.2,0.604999999999999,-21.5666666666667
"HH115",2018-01-01 05:00:00,0.1644,70.3,1.2,0.604999999999999,-22.0655555555556
"HH115",2018-01-01 06:00:00,0.1644,71,1.2,0.604999999999999,-22.8838888888889
"HH115",2018-01-01 07:00:00,0.1644,72.8,1.2,0.604999999999999,-23.4077777777778
"HH115",2018-01-01 08:00:00,0.1637,73.8,1.2,0.577222222222223,-23.8877777777778
"HH115",2018-01-01 09:00:00,0.1637,74.2,1.2,0.577222222222223,-24.2677777777778
"HH115",2018-01-01 10:00:00,0.163,74.3,43.7,0.577222222222223,-23.04
"HH115",2018-01-01 11:00:00,0.163,70.9,111.2,0.577222222222223,-21.5666666666667
"HH115",2018-01-01 12:00:00,0.163,67.1,183.7,0.577222222222223,-20.0255555555556
"HH115",2018-01-01 13:00:00,0.163,65,251.2,0.577222222222223,-18.7405555555556
"HH115",2018-01-01 14:00:00,0.163,63.9,218.7,0.550000000000001,-17.8566666666667
"HH115",2018-01-01 15:00:00,0.1623,64,193.7,0.577222222222223,-17.8127777777778
"HH115",2018-01-01 16:00:00,0.1623,64.4,96.2,0.550000000000001,-17.8127777777778
"HH115",2018-01-01 17:00:00,0.1623,66.4,48.7,0.550000000000001,-18.5177777777778
"HH115",2018-01-01 18:00:00,0.1623,69.7,13.7,0.550000000000001,-19.7916666666667
"HH115",2018-01-01 19:00:00,0.1615,73.4,1.2,0.550000000000001,-20.8816666666667
"HH115",2018-01-01 20:00:00,0.1615,75.4,1.2,0.550000000000001,-21.2227777777778
"HH115",2018-01-01 21:00:00,0.1608,76,1.2,0.550000000000001,-21.865
"HH115",2018-01-01 22:00:00,0.1608,76.7,1.2,0.550000000000001,-22.1666666666667
"HH115",2018-01-01 23:00:00,0.1601,77.3,1.2,0.550000000000001,-22.5227777777778
"HH115",2018-01-02 00:00:00,0.1601,77.9,1.2,0.522222222222221,-22.8316666666667
"HH115",2018-01-02 01:00:00,0.1594,78.4,1.2,0.522222222222221,-22.6255555555556
"HH115",2018-01-02 02:00:00,0.1594,78.6,1.2,0.522222222222221,-22.8838888888889
"HH115",2018-01-02 03:00:00,0.1586,79.2,1.2,0.522222222222221,-23.1966666666667
"HH115",2018-01-02 04:00:00,0.1579,79.8,1.2,0.522222222222221,-23.3027777777778
"HH115",2018-01-02 05:00:00,0.1579,80.1,1.2,0.522222222222221,-23.3027777777778
"HH115",2018-01-02 06:00:00,0.1572,80.2,1.2,0.494999999999999,-23.7266666666667
"HH115",2018-01-02 07:00:00,0.1564,80.6,1.2,0.494999999999999,-23.835
"HH115",2018-01-02 08:00:00,0.1564,80.5,1.2,0.494999999999999,-24.1588888888889
"HH115",2018-01-02 09:00:00,0.1557,80.7,1.2,0.494999999999999,-24.0505555555556
"HH115",2018-01-02 10:00:00,0.155,80.4,43.7,0.494999999999999,-23.3027777777778
"HH115",2018-01-02 11:00:00,0.1543,76.7,111.2,0.494999999999999,-21.2716666666667
"HH115",2018-01-02 12:00:00,0.1543,70.5,176.2,0.494999999999999,-19.2388888888889
"HH115",2018-01-02 13:00:00,0.1535,67.2,253.7,0.494999999999999,-16.3672222222222
"HH115",2018-01-02 14:00:00,0.1528,66.6,218.7,0.494999999999999,-14.825
"HH115",2018-01-02 15:00:00,0.1521,66.2,196.2,0.494999999999999,-14.6672222222222
"HH115",2018-01-02 16:00:00,0.1521,65.6,91.2,0.494999999999999,-15.385
"HH115",2018-01-02 17:00:00,0.1514,66.3,51.2,0.494999999999999,-15.9538888888889
"HH115",2018-01-02 18:00:00,0.1514,69.2,13.7,0.494999999999999,-17.0388888888889
"HH115",2018-01-02 19:00:00,0.1506,71.7,1.2,0.494999999999999,-17.5961111111111
"HH115",2018-01-02 20:00:00,0.1499,75.8,1.2,0.494999999999999,-17.7261111111111
"HH115",2018-01-02 21:00:00,0.1492,76.3,1.2,0.494999999999999,-17.6827777777778
"HH115",2018-01-02 22:00:00,0.1485,76.2,1.2,0.494999999999999,-17.0822222222222
"HH115",2018-01-02 23:00:00,0.1485,76.6,1.2,0.467222222222223,-16.3672222222222
"HH115",2018-01-03 00:00:00,0.147,77.1,1.2,0.467222222222223,-15.6677777777778
"HH115",2018-01-03 01:00:00,0.1463,76.3,1.2,0.467222222222223,-14.825
"HH115",2018-01-03 02:00:00,0.1463,75.1,1.2,0.467222222222223,-13.58
"HH115",2018-01-03 03:00:00,0.1456,73.8,1.2,0.467222222222223,-12.5638888888889
"HH115",2018-01-03 04:00:00,0.1456,73.1,1.2,0.467222222222223,-11.8672222222222
"HH115",2018-01-03 05:00:00,0.1448,74.9,1.2,0.467222222222223,-11.685
"HH115",2018-01-03 06:00:00,0.1448,78.6,1.2,0.467222222222223,-11.2538888888889
