"Plot_Name","Date_Check","Soil_Moisture","Relative_Humidity","PAR","Soil_Temp","Air_Temp"
"HH115",2019-02-01 00:00:00,0.301,83.9,1.2,33.188,-1.655
"HH115",2019-02-01 01:00:00,0.301,84.6,1.2,33.188,-0.616
"HH115",2019-02-01 02:00:00,0.301,85.3,1.2,33.188,0.171
"HH115",2019-02-01 03:00:00,0.3003,85.9,1.2,33.188,1.328
"HH115",2019-02-01 04:00:00,0.3003,86.5,1.2,33.188,2.239
"HH115",2019-02-01 05:00:00,0.3003,87.2,1.2,33.188,3.502
"HH115",2019-02-01 06:00:00,0.3017,87.8,1.2,33.188,4.813
"HH115",2019-02-01 07:00:00,0.301,88.4,1.2,33.188,6.022
"HH115",2019-02-01 08:00:00,0.301,88.7,1.2,33.188,6.022
"HH115",2019-02-01 09:00:00,0.3003,89.2,1.2,33.188,6.305
"HH115",2019-02-01 10:00:00,0.2988,89.6,13.7,33.188,8.577
"HH115",2019-02-01 11:00:00,0.2995,88.6,48.7,33.188,11.871
"HH115",2019-02-01 12:00:00,0.2995,84.9,83.7,33.188,14.702
"HH115",2019-02-01 13:00:00,0.3003,81,123.7,33.188,18.248
"HH115",2019-02-01 14:00:00,0.2995,77.2,128.7,33.188,19.526
"HH115",2019-02-01 15:00:00,0.2988,75.1,128.7,33.188,21.238
"HH115",2019-02-01 16:00:00,0.2995,74.3,116.2,33.188,20.842
"HH115",2019-02-01 17:00:00,0.2995,74.1,126.2,33.188,20.784
"HH115",2019-02-01 18:00:00,0.301,75.5,51.2,33.188,18.774
"HH115",2019-02-01 19:00:00,0.3003,77.8,11.2,33.188,17.836
"HH115",2019-02-01 20:00:00,0.3003,80.5,1.2,33.188,15.984
"HH115",2019-02-01 21:00:00,0.2981,82.7,1.2,33.188,14.578
"HH115",2019-02-01 22:00:00,0.2981,83.8,1.2,33.188,13.143
"HH115",2019-02-01 23:00:00,0.2981,84.9,1.2,33.188,12.637
"HH115",2019-02-02 00:00:00,0.3024,86,1.2,33.188,12.637
"HH115",2019-02-02 01:00:00,0.3024,87.5,1.2,33.188,12.063
"HH115",2019-02-02 02:00:00,0.3024,89,1.2,33.188,13.395
"HH115",2019-02-02 03:00:00,0.3024,90.2,1.2,33.188,14.02
"HH115",2019-02-02 04:00:00,0.3032,91.1,1.2,33.188,15.316
"HH115",2019-02-02 05:00:00,0.3032,91.7,1.2,33.188,16.104
"HH115",2019-02-02 06:00:00,0.3032,92.2,1.2,33.188,16.587
"HH115",2019-02-02 07:00:00,0.3032,92.5,1.2,33.188,18.714
"HH115",2019-02-02 08:00:00,0.3039,93.2,1.2,33.188,21.519
"HH115",2019-02-02 09:00:00,0.3046,93.9,1.2,33.188,21.799
