"Plot_Name","Date_Check","Soil_Moisture","Relative_Humidity","PAR","Soil_Temp","Air_Temp"
"N115",2018-10-01 00:00:00,0.0141,94.1,1.2,14.9122222222222,14.5527777777778
"N115",2018-10-01 01:00:00,0.0141,94.2,1.2,14.9361111111111,14.3138888888889
"N115",2018-10-01 02:00:00,0.0148,95.9,1.2,14.9361111111111,13.7861111111111
"N115",2018-10-01 03:00:00,0.0148,96.5,1.2,14.9361111111111,13.7861111111111
"N115",2018-10-01 04:00:00,0.0141,96,1.2,14.9122222222222,13.5938888888889
"N115",2018-10-01 05:00:00,0.0148,95.3,1.2,14.9122222222222,13.5938888888889
"N115",2018-10-01 06:00:00,0.0141,95.4,1.2,14.9122222222222,13.6177777777778
"N115",2018-10-01 07:00:00,0.0141,95.5,1.2,14.8877777777778,13.6177777777778
"N115",2018-10-01 08:00:00,0.0141,95.6,1.2,14.8877777777778,13.6661111111111
"N115",2018-10-01 09:00:00,0.0148,95.5,1.2,14.8877777777778,13.93
"N115",2018-10-01 10:00:00,0.0141,95.2,1.2,14.8877777777778,14.4327777777778
"N115",2018-10-01 11:00:00,0.0141,94.1,6.2,14.8877777777778,15.1272222222222
"N115",2018-10-01 12:00:00,0.0141,91.8,11.2,14.9122222222222,16.6538888888889
"N115",2018-10-01 13:00:00,0.0134,89.2,16.2,14.96,17.4627777777778
"N115",2018-10-01 14:00:00,0.0141,88.9,11.2,15.0311111111111,18.6038888888889
"N115",2018-10-01 15:00:00,0.0141,88.8,11.2,15.1272222222222,19.3411111111111
"N115",2018-10-01 16:00:00,0.0141,89,6.2,15.2227777777778,19.8877777777778
"N115",2018-10-01 17:00:00,0.0141,90,3.7,15.3177777777778,20.3172222222222
"N115",2018-10-01 18:00:00,0.0141,91.2,1.2,15.4138888888889,20.2927777777778
"N115",2018-10-01 19:00:00,0.0141,90.6,1.2,15.5088888888889,18.9127777777778
"N115",2018-10-01 20:00:00,0.0141,91.8,1.2,15.5811111111111,17.9861111111111
"N115",2018-10-01 21:00:00,0.0134,93.5,1.2,15.6522222222222,17.225
"N115",2018-10-01 22:00:00,0.0134,94.9,1.2,15.6761111111111,17.1061111111111
"N115",2018-10-01 23:00:00,0.0134,95.6,1.2,15.6761111111111,19.4838888888889
"N115",2018-10-02 00:00:00,0.4245,97.1,1.2,16.82,17.9861111111111
"N115",2018-10-02 01:00:00,0.4157,99.9,1.2,17.1527777777778,17.915
"N115",2018-10-02 02:00:00,0.3068,100,1.2,17.0577777777778,18.1288888888889
"N115",2018-10-02 03:00:00,0.2124,100,1.2,16.7727777777778,18.2238888888889
"N115",2018-10-02 04:00:00,0.1935,100,1.2,16.63,18.2238888888889
"N115",2018-10-02 05:00:00,0.1819,100,1.2,16.5338888888889,16.7961111111111
"N115",2018-10-02 06:00:00,0.1739,100,1.2,16.4872222222222,15.0311111111111
"N115",2018-10-02 07:00:00,0.1681,100,1.2,16.4388888888889,14.0738888888889
"N115",2018-10-02 08:00:00,0.1623,100,1.2,16.3677777777778,13.4727777777778
"N115",2018-10-02 09:00:00,0.1564,100,1.2,16.2961111111111,13.3772222222222
"N115",2018-10-02 10:00:00,0.1506,100,3.7,16.2011111111111,13.4011111111111
"N115",2018-10-02 11:00:00,0.1463,100,3.7,16.1288888888889,13.69
"N115",2018-10-02 12:00:00,0.1412,100,6.2,16.0577777777778,14.17
"N115",2018-10-02 13:00:00,0.1376,99.7,6.2,16.01,14.745
"N115",2018-10-02 14:00:00,0.1339,97.2,6.2,15.9627777777778,14.96
"N115",2018-10-02 15:00:00,0.131,95,6.2,15.9388888888889,15.39
"N115",2018-10-02 16:00:00,0.1274,93.8,6.2,15.915,15.485
"N115",2018-10-02 17:00:00,0.1238,93.9,3.7,15.915,15.605
"N115",2018-10-02 18:00:00,0.1209,94.9,3.7,15.915,15.6288888888889
"N115",2018-10-02 19:00:00,0.1194,96.3,1.2,15.915,14.6972222222222
"N115",2018-10-02 20:00:00,0.1172,97.8,1.2,15.915,14.6727777777778
"N115",2018-10-02 21:00:00,0.115,97.9,1.2,15.8911111111111,14.84
"N115",2018-10-02 22:00:00,0.1136,98.2,1.2,15.8672222222222,14.84
"N115",2018-10-02 23:00:00,0.1121,99,1.2,15.8427777777778,14.7922222222222
"N115",2018-10-03 00:00:00,0.1107,99.3,1.2,15.8427777777778,14.7677777777778
"N115",2018-10-03 01:00:00,0.11,99.3,1.2,15.8188888888889,14.7677777777778
"N115",2018-10-03 02:00:00,0.1085,99.2,1.2,15.8188888888889,14.745
"N115",2018-10-03 03:00:00,0.1078,99.1,1.2,15.7722222222222,14.7211111111111
"N115",2018-10-03 04:00:00,0.1063,98.9,1.2,15.7722222222222,14.385
"N115",2018-10-03 05:00:00,0.1056,99.2,1.2,15.7477777777778,14.1938888888889
"N115",2018-10-03 06:00:00,0.1042,99.9,1.2,15.7477777777778,14.385
"N115",2018-10-03 07:00:00,0.1034,100,1.2,15.7238888888889,14.7677777777778
"N115",2018-10-03 08:00:00,0.1027,100,1.2,15.7,16.4388888888889
"N115",2018-10-03 09:00:00,0.102,100,1.2,15.7,17.5338888888889
"N115",2018-10-03 10:00:00,0.102,100,3.7,15.7238888888889,19.4361111111111
"N115",2018-10-03 11:00:00,0.1005,98.7,11.2,15.7722222222222,21.6761111111111
"N115",2018-10-03 12:00:00,0.0991,93.6,8.7,15.8672222222222,23.4
"N115",2018-10-03 13:00:00,0.0976,90.8,26.2,15.9861111111111,24.3627777777778
"N115",2018-10-03 14:00:00,0.0969,86.7,11.2,16.1527777777778,24.9438888888889
"N115",2018-10-03 15:00:00,0.0947,83.2,11.2,16.32,25.2577777777778
"N115",2018-10-03 16:00:00,0.0933,81.4,8.7,16.4872222222222,25.2577777777778
"N115",2018-10-03 17:00:00,0.0918,78.5,3.7,16.63,25.4527777777778
"N115",2018-10-03 18:00:00,0.0904,76.2,1.2,16.7727777777778,25.21
"N115",2018-10-03 19:00:00,0.0889,75.4,1.2,16.8922222222222,25.0161111111111
"N115",2018-10-03 20:00:00,0.0874,74.1,1.2,16.9872222222222,24.5811111111111
"N115",2018-10-03 21:00:00,0.086,75.8,1.2,17.0822222222222,24.3877777777778
"N115",2018-10-03 22:00:00,0.0853,76.8,1.2,17.1527777777778,24.2911111111111
"N115",2018-10-03 23:00:00,0.0845,78.8,1.2,17.225,24.1222222222222
"N115",2018-10-04 00:00:00,0.0831,79.3,1.2,17.2961111111111,24.0738888888889
"N115",2018-10-04 01:00:00,0.0824,80.5,1.2,17.3438888888889,23.9777777777778
"N115",2018-10-04 02:00:00,0.0816,83.4,1.2,17.3911111111111,22.2738888888889
"N115",2018-10-04 03:00:00,0.0816,96.6,1.2,17.4388888888889,21.2227777777778
"N115",2018-10-04 04:00:00,0.0809,98.6,1.2,17.4861111111111,20.865
"N115",2018-10-04 05:00:00,0.0809,95.8,1.2,17.51,18.8888888888889
"N115",2018-10-04 06:00:00,0.0795,85.4,1.2,17.51,16.725
"N115",2018-10-04 07:00:00,0.0795,85,1.2,17.4861111111111,15.5572222222222
"N115",2018-10-04 08:00:00,0.0787,85.3,1.2,17.3911111111111,14.1938888888889
"N115",2018-10-04 09:00:00,0.0787,83.7,1.2,17.2961111111111,12.8711111111111
"N115",2018-10-04 10:00:00,0.0787,81,6.2,17.1527777777778,12.4611111111111
"N115",2018-10-04 11:00:00,0.078,76.3,8.7,17.0338888888889,12.3161111111111
"N115",2018-10-04 12:00:00,0.0773,75.6,8.7,16.8922222222222,12.7027777777778
"N115",2018-10-04 13:00:00,0.0766,72.8,18.7,16.7488888888889,12.6061111111111
"N115",2018-10-04 14:00:00,0.0758,71,8.7,16.63,12.5088888888889
"N115",2018-10-04 15:00:00,0.0751,71.3,8.7,16.5111111111111,12.4127777777778
"N115",2018-10-04 16:00:00,0.0744,70.2,8.7,16.415,11.9772222222222
"N115",2018-10-04 17:00:00,0.0736,72.8,3.7,16.32,11.9527777777778
"N115",2018-10-04 18:00:00,0.0729,74,1.2,16.2011111111111,11.3461111111111
"N115",2018-10-04 19:00:00,0.0722,76,1.2,16.1061111111111,10.4672222222222
"N115",2018-10-04 20:00:00,0.0715,78.9,1.2,16.01,10.0261111111111
"N115",2018-10-04 21:00:00,0.0707,80.7,1.2,15.8911111111111,10.1488888888889
"N115",2018-10-04 22:00:00,0.0707,83.8,1.2,15.7961111111111,10.0261111111111
"N115",2018-10-04 23:00:00,0.07,86.8,1.2,15.7,9.73111111111111
"N115",2018-10-05 00:00:00,0.0693,88.4,1.2,15.605,10.8577777777778
"N115",2018-10-05 01:00:00,0.0693,88.8,1.2,15.5327777777778,11.7827777777778
"N115",2018-10-05 02:00:00,0.0686,84.7,1.2,15.4611111111111,12.7027777777778
"N115",2018-10-05 03:00:00,0.0686,82.6,1.2,15.4377777777778,12.5338888888889
"N115",2018-10-05 04:00:00,0.0678,83.4,1.2,15.39,12.3888888888889
