"Plot_Name","Date_Time","Soil_Moisture","Relative_Humidity","PAR","Soil_Temp","Air_Temp"
"U134",2019-04-01 00:00:00,0.192,66.9,1.2,3.32722222222222,-2.10222222222222
"U134",2019-04-01 01:00:00,0.1928,69.3,1.2,3.195,-3.065
"U134",2019-04-01 02:00:00,0.1928,73.9,1.2,3.08888888888889,-3.98611111111111
"U134",2019-04-01 03:00:00,0.1928,80.2,1.2,2.98277777777778,-3.74722222222222
"U134",2019-04-01 04:00:00,0.1928,81,1.2,2.87722222222222,-4.53
"U134",2019-04-01 05:00:00,0.192,84.1,1.2,2.77,-4.865
"U134",2019-04-01 06:00:00,0.192,86.3,1.2,2.69,-4.65111111111111
"U134",2019-04-01 07:00:00,0.192,85.1,6.2,2.61,-2.97611111111111
"U134",2019-04-01 08:00:00,0.1855,80.1,76.2,2.53,-0.422777777777777
"U134",2019-04-01 09:00:00,0.1862,69,148.7,2.47722222222222,1.64277777777778
"U134",2019-04-01 10:00:00,0.1884,61.4,286.2,2.45,4.66222222222222
"U134",2019-04-01 11:00:00,0.1906,49.4,346.2,2.50277777777778,5.36
"U134",2019-04-01 12:00:00,0.1913,45.3,446.2,2.69,7.11611111111111
"U134",2019-04-01 13:00:00,0.1928,42.7,656.2,3.00888888888889,8.99
"U134",2019-04-01 14:00:00,0.1935,43.2,733.7,3.38,9.18777777777778
"U134",2019-04-01 15:00:00,0.1935,44.5,598.7,3.775,9.08888888888889
"U134",2019-04-01 16:00:00,0.1935,46.2,433.7,4.16777777777778,9.55777777777778
"U134",2019-04-01 17:00:00,0.1942,47.8,296.2,4.48,9.28722222222222
"U134",2019-04-01 18:00:00,0.1935,52,121.2,4.63611111111111,8.49388888888889
"U134",2019-04-01 19:00:00,0.1935,55.6,38.7,4.66222222222222,7.46888888888889
"U134",2019-04-01 20:00:00,0.1935,59.9,1.2,4.61,6.255
"U134",2019-04-01 21:00:00,0.1928,65.9,1.2,4.50611111111111,5.28222222222222
"U134",2019-04-01 22:00:00,0.1928,69.6,1.2,4.37611111111111,5.30777777777778
"U134",2019-04-01 23:00:00,0.192,70.1,1.2,4.24611111111111,5.07611111111111
"U134",2019-04-02 00:00:00,0.192,71,1.2,4.16777777777778,5.10222222222222
"U134",2019-04-02 01:00:00,0.192,70.1,1.2,4.08888888888889,4.61
"U134",2019-04-02 02:00:00,0.192,71.6,1.2,4.01111111111111,4.19388888888889
"U134",2019-04-02 03:00:00,0.192,73.1,1.2,3.95777777777778,3.985
"U134",2019-04-02 04:00:00,0.1913,73.2,1.2,3.88,3.35388888888889
"U134",2019-04-02 05:00:00,0.1913,75.5,1.2,3.80111111111111,2.98277777777778
"U134",2019-04-02 06:00:00,0.1913,77.3,1.2,3.72222222222222,2.18222222222222
"U134",2019-04-02 07:00:00,0.1906,78.7,3.7,3.61722222222222,2.69
"U134",2019-04-02 08:00:00,0.1906,76.5,53.7,3.56388888888889,3.88
"U134",2019-04-02 09:00:00,0.1913,69.2,173.7,3.53777777777778,6.43277777777778
"U134",2019-04-02 10:00:00,0.192,60.1,321.2,3.59111111111111,9.16277777777778
"U134",2019-04-02 11:00:00,0.1928,52.9,741.2,3.775,12.6061111111111
"U134",2019-04-02 12:00:00,0.1935,44,698.7,4.115,13.2088888888889
"U134",2019-04-02 13:00:00,0.1935,39.4,398.7,4.55777777777778,12.5822222222222
"U134",2019-04-02 14:00:00,0.1935,48.7,458.7,4.94722222222222,11.9288888888889
"U134",2019-04-02 15:00:00,0.1935,62.2,123.7,5.23111111111111,8.245
"U134",2019-04-02 16:00:00,0.1935,65.8,231.2,5.385,9.85388888888889
"U134",2019-04-02 17:00:00,0.1935,64.6,168.7,5.46222222222222,9.06388888888889
"U134",2019-04-02 18:00:00,0.1935,66,101.2,5.48777777777778,8.49388888888889
"U134",2019-04-02 19:00:00,0.1935,68.7,43.7,5.48777777777778,6.83888888888889
"U134",2019-04-02 20:00:00,0.1928,71.5,1.2,5.41111111111111,5.46222222222222
"U134",2019-04-02 21:00:00,0.192,74.8,1.2,5.28222222222222,5.41111111111111
"U134",2019-04-02 22:00:00,0.1913,73.8,1.2,5.10222222222222,4.37611111111111
"U134",2019-04-02 23:00:00,0.1913,77,1.2,4.94722222222222,4.42777777777778
"U134",2019-04-03 00:00:00,0.1913,77.4,1.2,4.79222222222222,3.80111111111111
"U134",2019-04-03 01:00:00,0.1906,79.4,1.2,4.63611111111111,3.11611111111111
"U134",2019-04-03 02:00:00,0.1906,79.8,1.2,4.50611111111111,3.40611111111111
"U134",2019-04-03 03:00:00,0.1906,76.4,1.2,4.37611111111111,3.80111111111111
"U134",2019-04-03 04:00:00,0.1899,77.1,1.2,4.27222222222222,3.61722222222222
"U134",2019-04-03 05:00:00,0.1899,80,1.2,4.16777777777778,2.31611111111111
"U134",2019-04-03 06:00:00,0.1899,84.3,1.2,4.06277777777778,0.35611111111111
"U134",2019-04-03 07:00:00,0.1899,88.9,8.7,3.93222222222222,0.467222222222223
"U134",2019-04-03 08:00:00,0.1891,88.4,78.7,3.82722222222222,3.14222222222222
"U134",2019-04-03 09:00:00,0.1899,68.7,201.2,3.775,6.83888888888889
"U134",2019-04-03 10:00:00,0.1913,47.9,311.2,3.80111111111111,8.59277777777778
"U134",2019-04-03 11:00:00,0.192,38.3,781.2,3.95777777777778,11.2
"U134",2019-04-03 12:00:00,0.1928,32.7,721.2,4.27222222222222,12.485
"U134",2019-04-03 13:00:00,0.1928,29.5,666.2,4.68777777777778,14.2422222222222
"U134",2019-04-03 14:00:00,0.1928,29.7,741.2,5.12777777777778,15.055
"U134",2019-04-03 15:00:00,0.1928,29.7,573.7,5.565,15.2227777777778
"U134",2019-04-03 16:00:00,0.1935,31.9,416.2,5.94888888888889,15.7961111111111
"U134",2019-04-03 17:00:00,0.1935,35.8,191.2,6.20388888888889,14.0738888888889
"U134",2019-04-03 18:00:00,0.1935,38,93.7,6.33111111111111,13.4488888888889
"U134",2019-04-03 19:00:00,0.1935,40.9,21.2,6.35722222222222,12.5822222222222
"U134",2019-04-03 20:00:00,0.1935,44.1,1.2,6.33111111111111,11.6372222222222
"U134",2019-04-03 21:00:00,0.1899,61.4,1.2,6.28111111111111,8.965
"U134",2019-04-03 22:00:00,0.1899,77.2,1.2,6.17888888888889,8.145
"U134",2019-04-03 23:00:00,0.1906,83,1.2,6.12777777777778,8.145
"U134",2019-04-04 00:00:00,0.1899,82,1.2,6.05111111111111,7.77
"U134",2019-04-04 01:00:00,0.179,87.7,1.2,5.975,6.99
"U134",2019-04-04 02:00:00,0.1819,93.6,1.2,5.92388888888889,6.83888888888889
"U134",2019-04-04 03:00:00,0.1804,95,1.2,5.87222222222222,6.48388888888889
"U134",2019-04-04 04:00:00,0.1797,95.6,1.2,5.79611111111111,6.535
"U134",2019-04-04 05:00:00,0.184,93.8,1.2,5.745,6.535
"U134",2019-04-04 06:00:00,0.1899,94.1,1.2,5.71888888888889,6.45777777777778
"U134",2019-04-04 07:00:00,0.1913,94.5,1.2,5.66777777777778,6.61111111111111
"U134",2019-04-04 08:00:00,0.1928,94.8,23.7,5.64222222222222,6.965
"U134",2019-04-04 09:00:00,0.1935,92.6,46.2,5.61611111111111,6.94
"U134",2019-04-04 10:00:00,0.1935,92.7,111.2,5.61611111111111,7.09111111111111
"U134",2019-04-04 11:00:00,0.1928,89.6,141.2,5.66777777777778,7.36777777777778
"U134",2019-04-04 12:00:00,0.1877,89.5,143.7,5.71888888888889,7.26777777777778
"U134",2019-04-04 13:00:00,0.1891,92.3,236.2,5.77,7.29277777777778
"U134",2019-04-04 14:00:00,0.1906,93.7,121.2,5.84722222222222,7.29277777777778
"U134",2019-04-04 15:00:00,0.1978,95.3,121.2,5.92388888888889,7.26777777777778
"U134",2019-04-04 16:00:00,0.2015,95.8,78.7,5.94888888888889,7.14222222222222
"U134",2019-04-04 17:00:00,0.2008,96,51.2,5.975,7.06611111111111
"U134",2019-04-04 18:00:00,0.2008,96,36.2,5.975,7.06611111111111
"U134",2019-04-04 19:00:00,0.1993,94.6,18.7,5.975,6.17888888888889
"U134",2019-04-04 20:00:00,0.1978,93.5,1.2,5.92388888888889,5.33388888888889
"U134",2019-04-04 21:00:00,0.1964,94.2,1.2,5.84722222222222,4.71388888888889
"U134",2019-04-04 22:00:00,0.1935,95.8,1.2,5.77,4.58388888888889
"U134",2019-04-04 23:00:00,0.1971,96.7,1.2,5.66777777777778,4.45388888888889
"U134",2019-04-05 00:00:00,0.1978,96.9,1.2,5.59111111111111,4.40222222222222
"U134",2019-04-05 01:00:00,0.1971,96.3,1.2,5.51388888888889,4.66222222222222
"U134",2019-04-05 02:00:00,0.1971,95.9,1.2,5.43722222222222,4.76611111111111
"U134",2019-04-05 03:00:00,0.1964,95.2,1.2,5.385,4.84388888888889
"U134",2019-04-05 04:00:00,0.1957,94.4,1.2,5.33388888888889,4.61
"U134",2019-04-05 05:00:00,0.1949,94.4,1.2,5.30777777777778,4.48
"U134",2019-04-05 06:00:00,0.1942,94.4,1.2,5.25722222222222,4.42777777777778
"U134",2019-04-05 07:00:00,0.1935,94.7,1.2,5.205,4.68777777777778
"U134",2019-04-05 08:00:00,0.1928,94.8,16.2,5.17888888888889,4.92111111111111
"U134",2019-04-05 09:00:00,0.1928,93.9,46.2,5.17888888888889,5.565
"U134",2019-04-05 10:00:00,0.1928,92.7,73.7,5.205,6.20388888888889
"U134",2019-04-05 11:00:00,0.1928,91.6,131.2,5.25722222222222,7.19222222222222
"U134",2019-04-05 12:00:00,0.1928,90.1,313.7,5.385,9.08888888888889
"U134",2019-04-05 13:00:00,0.1928,87.9,306.2,5.565,10.1977777777778
"U134",2019-04-05 14:00:00,0.1935,85.6,326.2,5.82111111111111,11.8322222222222
"U134",2019-04-05 15:00:00,0.1935,81.6,368.7,6.10222222222222,12.8961111111111
"U134",2019-04-05 16:00:00,0.1935,79.4,238.7,6.40777777777778,12.8472222222222
"U134",2019-04-05 17:00:00,0.1935,81.5,106.2,6.63611111111111,12.34
"U134",2019-04-05 18:00:00,0.1935,82.1,73.7,6.78777777777778,12.2188888888889
"U134",2019-04-05 19:00:00,0.1935,83.8,31.2,6.86388888888889,11.5888888888889
"U134",2019-04-05 20:00:00,0.1935,86.4,1.2,6.88888888888889,10.8827777777778
"U134",2019-04-05 21:00:00,0.1928,88.9,1.2,6.86388888888889,10.345
"U134",2019-04-05 22:00:00,0.1928,89.8,1.2,6.83888888888889,10.32
"U134",2019-04-05 23:00:00,0.1928,90.7,1.2,6.78777777777778,9.95222222222222
