"Plot Title: Rollinson_D1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 9663855, SEN S/N: 2445096)","Water Content, m³/m³ (LGR S/N: 9663855, SEN S/N: 9673988)","Temp, °F (LGR S/N: 9663855, SEN S/N: 10448527)","RH, % (LGR S/N: 9663855, SEN S/N: 10448527)","PAR, µmol/m²/s (LGR S/N: 9663855, SEN S/N: 20210396)"
1,09/26/18 10:24:09 AM,61.761,0.2146,57.549,74.400,23.7
2,09/26/18 11:24:09 AM,62.105,0.2138,59.401,70.500,131.2
3,09/26/18 12:24:09 PM,62.577,0.2138,62.362,64.600,31.2
4,09/26/18 01:24:09 PM,62.875,0.2138,63.732,61.600,106.2
5,09/26/18 02:24:09 PM,63.219,0.2138,63.475,58.200,48.7
6,09/26/18 03:24:09 PM,63.347,0.2138,63.433,57.900,38.7
7,09/26/18 04:24:09 PM,63.390,0.2138,64.717,59.700,51.2
8,09/26/18 05:24:09 PM,63.347,0.2138,62.791,59.300,16.2
9,09/26/18 06:24:09 PM,63.304,0.2138,59.830,64.300,6.2
10,09/26/18 07:24:09 PM,63.048,0.2131,57.807,69.600,1.2
11,09/26/18 08:24:09 PM,62.791,0.2131,56.383,73.000,1.2
12,09/26/18 09:24:09 PM,62.490,0.2131,55.690,75.400,1.2
13,09/26/18 10:24:09 PM,62.233,0.2131,54.691,77.400,1.2
14,09/26/18 11:24:09 PM,61.977,0.2124,53.427,80.300,1.2
15,09/27/18 12:24:09 AM,61.677,0.2124,51.633,83.800,1.2
16,09/27/18 01:24:09 AM,61.376,0.2124,51.282,85.000,1.2
17,09/27/18 02:24:09 AM,61.032,0.2124,50.974,85.600,1.2
18,09/27/18 03:24:09 AM,60.733,0.2124,49.294,87.100,1.2
19,09/27/18 04:24:09 AM,60.433,0.2124,49.073,88.600,1.2
20,09/27/18 05:24:09 AM,60.132,0.2116,49.249,89.500,1.2
21,09/27/18 06:24:09 AM,59.830,0.2116,49.692,89.600,1.2
22,09/27/18 07:24:09 AM,59.616,0.2116,49.428,90.300,1.2
23,09/27/18 08:24:09 AM,59.445,0.2116,50.002,92.000,3.7
24,09/27/18 09:24:09 AM,59.358,0.2109,55.819,85.900,28.7
25,09/27/18 10:24:09 AM,59.529,0.2116,60.948,73.200,36.2
26,09/27/18 11:24:09 AM,60.303,0.2116,63.390,60.700,168.7
27,09/27/18 12:24:09 PM,61.032,0.2116,63.648,54.300,48.7
28,09/27/18 01:24:09 PM,61.290,0.2116,64.717,53.900,96.2
29,09/27/18 02:24:09 PM,61.506,0.2116,66.515,52.300,63.7
30,09/27/18 03:24:09 PM,61.720,0.2116,67.543,48.400,43.7
31,09/27/18 04:24:09 PM,61.848,0.2109,68.443,45.200,38.7
32,09/27/18 05:24:09 PM,61.848,0.2109,68.185,43.500,13.7
33,09/27/18 06:24:09 PM,61.804,0.2109,66.385,42.300,3.7
34,09/27/18 07:24:09 PM,61.761,0.2109,63.775,45.600,1.2
35,09/27/18 08:24:09 PM,61.547,0.2102,62.577,49.400,1.2
36,09/27/18 09:24:09 PM,61.376,0.2102,60.818,55.500,1.2
37,09/27/18 10:24:09 PM,61.248,0.2102,59.142,59.800,1.2
38,09/27/18 11:24:09 PM,61.075,0.2102,58.325,62.000,1.2
39,09/28/18 12:24:09 AM,60.861,0.2095,58.368,60.500,1.2
40,09/28/18 01:24:09 AM,60.604,0.2095,58.669,60.900,1.2
41,09/28/18 02:24:09 AM,60.433,0.2095,57.722,62.100,1.2
42,09/28/18 03:24:09 AM,60.303,0.2087,55.733,67.900,1.2
43,09/28/18 04:24:09 AM,60.174,0.2087,54.777,72.600,1.2
44,09/28/18 05:24:09 AM,60.003,0.2087,53.951,75.100,1.2
45,09/28/18 06:24:09 AM,59.830,0.2087,53.341,77.800,1.2
46,09/28/18 07:24:09 AM,59.659,0.2080,53.253,80.000,1.2
47,09/28/18 08:24:09 AM,59.572,0.2080,54.300,82.000,6.2
48,09/28/18 09:24:09 AM,59.572,0.2080,56.251,83.000,11.2
49,09/28/18 10:24:09 AM,59.659,0.2080,56.815,83.100,11.2
50,09/28/18 11:24:09 AM,59.830,0.2080,58.195,83.000,21.2
51,09/28/18 12:24:09 PM,60.003,0.2080,58.325,79.300,26.2
52,09/28/18 01:24:09 PM,60.132,0.2080,58.928,77.900,26.2
53,09/28/18 02:24:09 PM,60.260,0.2080,56.901,78.000,16.2
54,09/28/18 03:24:09 PM,60.217,0.2080,53.341,76.200,6.2
55,09/28/18 04:24:09 PM,59.959,0.2080,50.002,88.600,3.7
56,09/28/18 05:24:09 PM,59.659,0.2080,49.383,94.300,3.7
57,09/28/18 06:24:09 PM,59.358,0.2080,48.672,96.100,1.2
58,09/28/18 07:24:09 PM,59.056,0.2080,47.647,96.400,1.2
59,09/28/18 08:24:09 PM,58.755,0.2073,46.886,96.500,1.2
60,09/28/18 09:24:09 PM,58.455,0.2073,46.301,96.100,1.2
61,09/28/18 10:24:09 PM,58.152,0.2073,45.851,96.600,1.2
62,09/28/18 11:24:09 PM,57.893,0.2073,45.444,97.300,1.2
63,09/29/18 12:24:09 AM,57.636,0.2073,45.399,97.600,1.2
64,09/29/18 01:24:09 AM,57.420,0.2066,45.036,96.900,1.2
65,09/29/18 02:24:09 AM,57.204,0.2066,43.167,95.800,1.2
66,09/29/18 03:24:09 AM,56.988,0.2066,42.294,96.900,1.2
67,09/29/18 04:24:09 AM,56.685,0.2058,41.878,97.100,1.2
68,09/29/18 05:24:09 AM,56.383,0.2058,41.554,96.800,1.2
69,09/29/18 06:24:09 AM,56.122,0.2058,41.601,95.900,1.2
70,09/29/18 07:24:09 AM,55.863,0.2058,40.017,96.200,1.2
71,09/29/18 08:24:09 AM,55.602,0.2058,43.259,96.000,3.7
72,09/29/18 09:24:09 AM,55.515,0.2058,48.182,90.800,18.7
73,09/29/18 10:24:09 AM,55.690,0.2051,54.430,76.700,26.2
74,09/29/18 11:24:09 AM,56.426,0.2058,55.602,57.500,158.7
75,09/29/18 12:24:09 PM,57.376,0.2058,55.690,58.400,43.7
76,09/29/18 01:24:09 PM,57.636,0.2058,56.208,55.100,46.2
77,09/29/18 02:24:09 PM,57.765,0.2058,55.690,54.100,28.7
78,09/29/18 03:24:09 PM,57.850,0.2058,56.728,57.400,23.7
79,09/29/18 04:24:09 PM,57.893,0.2051,55.515,57.600,18.7
80,09/29/18 05:24:09 PM,57.893,0.2051,54.691,59.700,6.2
81,09/29/18 06:24:09 PM,57.850,0.2051,53.645,62.300,1.2
82,09/29/18 07:24:09 PM,57.722,0.2051,53.298,68.500,1.2
83,09/29/18 08:24:09 PM,57.636,0.2051,52.641,73.200,1.2
84,09/29/18 09:24:09 PM,57.549,0.2051,50.929,77.900,1.2
85,09/29/18 10:24:09 PM,57.420,0.2051,50.135,90.300,1.2
86,09/29/18 11:24:09 PM,57.290,0.2051,51.105,89.600,1.2
87,09/30/18 12:24:09 AM,57.247,0.2051,52.466,86.900,1.2
88,09/30/18 01:24:09 AM,57.204,0.2051,53.733,84.900,1.2
89,09/30/18 02:24:09 AM,57.247,0.2051,54.169,84.800,1.2
90,09/30/18 03:24:09 AM,57.290,0.2051,52.029,88.600,1.2
91,09/30/18 04:24:09 AM,57.290,0.2051,52.203,91.400,1.2
92,09/30/18 05:24:09 AM,57.247,0.2051,51.678,93.500,1.2
93,09/30/18 06:24:09 AM,57.204,0.2044,51.940,94.900,1.2
94,09/30/18 07:24:09 AM,57.160,0.2044,52.335,94.900,1.2
95,09/30/18 08:24:09 AM,57.204,0.2044,54.037,93.700,3.7
96,09/30/18 09:24:09 AM,57.290,0.2044,56.858,87.900,18.7
97,09/30/18 10:24:09 AM,57.549,0.2044,59.229,84.400,28.7
98,09/30/18 11:24:09 AM,57.936,0.2051,59.788,87.200,21.2
99,09/30/18 12:24:09 PM,58.282,0.2051,60.003,86.700,18.7
100,09/30/18 01:24:09 PM,58.541,0.2051,60.303,88.500,16.2
101,09/30/18 02:24:09 PM,58.798,0.2051,60.647,90.100,18.7
102,09/30/18 03:24:09 PM,59.056,0.2044,62.962,89.600,36.2
103,09/30/18 04:24:09 PM,59.401,0.2051,62.962,89.700,28.7
104,09/30/18 05:24:09 PM,59.745,0.2051,61.934,90.800,21.2
105,09/30/18 06:24:09 PM,59.916,0.2051,59.830,93.200,3.7
106,09/30/18 07:24:09 PM,59.916,0.2044,58.885,94.400,1.2
107,09/30/18 08:24:09 PM,59.788,0.2044,58.582,94.400,1.2
108,09/30/18 09:24:09 PM,59.702,0.2044,58.282,93.600,1.2
