"Plot Title: Rollinson_B127"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 9663855, SEN S/N: 2445096)","Water Content, m³/m³ (LGR S/N: 9663855, SEN S/N: 9673988)","Temp, °F (LGR S/N: 9663855, SEN S/N: 10448527)","RH, % (LGR S/N: 9663855, SEN S/N: 10448527)","PAR, µmol/m²/s (LGR S/N: 9663855, SEN S/N: 20210396)"
1,05/03/19 09:59:40 AM,47.244,0.2603,55.256,74.000,1151.2
2,05/03/19 10:59:40 AM,47.557,0.2639,55.906,71.100,863.7
3,05/03/19 11:59:40 AM,48.315,0.2632,56.685,64.600,818.7
4,05/03/19 12:59:40 PM,49.249,0.2625,58.023,59.500,1026.2
5,05/03/19 01:59:40 PM,50.180,0.2618,56.165,56.900,791.2
6,05/03/19 02:59:40 PM,50.797,0.2603,55.386,56.500,541.2
7,05/03/19 03:59:40 PM,51.193,0.2596,53.645,57.600,233.7
8,05/03/19 04:59:40 PM,51.237,0.2589,52.641,57.700,208.7
9,05/03/19 05:59:40 PM,51.105,0.2581,51.325,59.600,86.2
10,05/03/19 06:59:40 PM,50.929,0.2574,49.204,65.800,33.7
11,05/03/19 07:59:40 PM,50.621,0.2567,47.602,70.700,1.2
12,05/03/19 08:59:40 PM,50.268,0.2567,46.031,76.200,1.2
13,05/03/19 09:59:40 PM,49.914,0.2589,44.173,84.000,1.2
14,05/03/19 10:59:40 PM,49.649,0.2589,43.579,91.400,1.2
15,05/03/19 11:59:40 PM,49.338,0.2581,42.064,94.500,1.2
16,05/04/19 12:59:40 AM,48.983,0.2574,41.369,96.100,1.2
17,05/04/19 01:59:40 AM,48.628,0.2567,40.672,96.200,1.2
18,05/04/19 02:59:40 AM,48.272,0.2567,40.064,95.700,1.2
19,05/04/19 03:59:40 AM,47.914,0.2560,40.064,96.200,1.2
20,05/04/19 04:59:40 AM,47.602,0.2560,39.924,96.200,1.2
21,05/04/19 05:59:40 AM,47.334,0.2552,39.549,96.100,1.2
22,05/04/19 06:59:40 AM,47.064,0.2552,40.905,95.800,43.7
23,05/04/19 07:59:40 AM,46.886,0.2552,45.669,91.000,141.2
24,05/04/19 08:59:40 AM,46.931,0.2552,51.895,80.500,481.2
25,05/04/19 09:59:40 AM,47.244,0.2552,57.850,66.700,696.2
