"Plot Title: Rollinson_B127"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 9663855, SEN S/N: 2445096)","Water Content, m³/m³ (LGR S/N: 9663855, SEN S/N: 9673988)","Temp, °C (LGR S/N: 9663855, SEN S/N: 10448527)","RH, % (LGR S/N: 9663855, SEN S/N: 10448527)","PAR, µmol/m²/s (LGR S/N: 9663855, SEN S/N: 20210396)"
1,07/22/19 10:48:55 AM,20.460,0.2974,20.936,72.600,78.7
2,07/22/19 11:48:55 AM,20.484,0.2966,21.533,70.900,36.2
3,07/22/19 12:48:55 PM,20.531,0.2952,21.652,64.700,38.7
4,07/22/19 01:48:55 PM,20.579,0.2944,22.345,57.200,406.2
5,07/22/19 02:48:55 PM,20.579,0.2930,22.465,52.500,23.7
6,07/22/19 03:48:55 PM,20.603,0.2923,22.417,53.100,36.2
7,07/22/19 04:48:55 PM,20.603,0.2915,22.106,56.700,18.7
8,07/22/19 05:48:55 PM,20.603,0.2908,21.939,60.200,11.2
9,07/22/19 06:48:55 PM,20.603,0.2901,21.079,62.300,6.2
10,07/22/19 07:48:55 PM,20.555,0.2901,20.222,63.900,1.2
11,07/22/19 08:48:55 PM,20.484,0.2894,18.081,70.600,1.2
12,07/22/19 09:48:55 PM,20.365,0.2886,17.463,74.400,1.2
13,07/22/19 10:48:55 PM,20.222,0.2886,17.034,73.300,1.2
14,07/22/19 11:48:55 PM,20.079,0.2879,16.582,78.500,1.2
15,07/23/19 12:48:55 AM,19.936,0.2879,16.368,81.600,1.2
16,07/23/19 01:48:55 AM,19.793,0.2872,16.058,86.100,1.2
17,07/23/19 02:48:55 AM,19.674,0.2865,16.320,85.600,1.2
18,07/23/19 03:48:55 AM,19.555,0.2865,16.034,84.100,1.2
19,07/23/19 04:48:55 AM,19.460,0.2865,15.581,85.900,1.2
20,07/23/19 05:48:55 AM,19.341,0.2857,15.485,88.900,1.2
21,07/23/19 06:48:55 AM,19.246,0.2857,15.915,89.900,1.2
22,07/23/19 07:48:55 AM,19.151,0.2857,17.629,89.100,16.2
23,07/23/19 08:48:55 AM,19.127,0.2857,19.793,85.000,13.7
24,07/23/19 09:48:55 AM,19.199,0.2857,21.724,77.100,21.2
25,07/23/19 10:48:55 AM,19.365,0.2850,23.160,69.600,73.7
26,07/23/19 11:48:55 AM,19.555,0.2843,23.641,70.400,73.7
27,07/23/19 12:48:55 PM,19.746,0.2843,24.146,69.100,53.7
28,07/23/19 01:48:55 PM,19.960,0.2828,24.847,61.600,261.2
29,07/23/19 02:48:55 PM,20.126,0.2828,24.774,60.300,41.2
30,07/23/19 03:48:55 PM,20.269,0.2821,24.363,60.700,33.7
31,07/23/19 04:48:55 PM,20.388,0.2814,24.267,61.000,26.2
32,07/23/19 05:48:55 PM,20.460,0.2806,23.641,59.100,16.2
33,07/23/19 06:48:55 PM,20.484,0.2799,23.208,66.100,8.7
34,07/23/19 07:48:55 PM,20.484,0.2799,21.557,69.300,1.2
35,07/23/19 08:48:55 PM,20.460,0.2799,20.246,77.300,1.2
36,07/23/19 09:48:55 PM,20.388,0.2792,19.651,77.700,1.2
37,07/23/19 10:48:55 PM,20.293,0.2792,18.866,80.100,1.2
38,07/23/19 11:48:55 PM,20.174,0.2792,18.390,82.800,1.2
39,07/24/19 12:48:55 AM,20.055,0.2785,17.915,85.200,1.2
40,07/24/19 01:48:55 AM,19.960,0.2785,17.510,87.400,1.2
41,07/24/19 02:48:55 AM,19.841,0.2785,16.939,90.400,1.2
42,07/24/19 03:48:55 AM,19.722,0.2777,16.677,92.500,1.2
43,07/24/19 04:48:55 AM,19.603,0.2777,16.106,92.800,1.2
44,07/24/19 05:48:55 AM,19.484,0.2777,16.415,93.300,1.2
45,07/24/19 06:48:55 AM,19.389,0.2770,17.011,93.800,1.2
46,07/24/19 07:48:55 AM,19.294,0.2770,18.414,91.900,11.2
47,07/24/19 08:48:55 AM,19.294,0.2770,20.246,85.400,16.2
48,07/24/19 09:48:55 AM,19.341,0.2770,21.533,73.700,21.2
49,07/24/19 10:48:55 AM,19.460,0.2763,23.088,64.200,78.7
50,07/24/19 11:48:55 AM,19.579,0.2763,23.833,56.100,103.7
51,07/24/19 12:48:55 PM,19.722,0.2748,24.702,53.100,38.7
52,07/24/19 01:48:55 PM,19.865,0.2741,25.162,49.100,288.7
53,07/24/19 02:48:55 PM,20.007,0.2734,24.847,47.300,31.2
54,07/24/19 03:48:55 PM,20.126,0.2727,24.677,47.900,41.2
55,07/24/19 04:48:55 PM,20.222,0.2719,24.557,48.700,23.7
56,07/24/19 05:48:55 PM,20.269,0.2712,24.291,50.500,11.2
57,07/24/19 06:48:55 PM,20.317,0.2705,23.208,55.400,6.2
58,07/24/19 07:48:55 PM,20.317,0.2705,22.585,53.300,1.2
59,07/24/19 08:48:55 PM,20.293,0.2698,21.748,48.800,1.2
60,07/24/19 09:48:55 PM,20.222,0.2698,20.269,53.500,1.2
61,07/24/19 10:48:55 PM,20.126,0.2690,19.365,58.200,1.2
62,07/24/19 11:48:55 PM,20.007,0.2690,19.103,61.100,1.2
63,07/25/19 12:48:55 AM,19.888,0.2683,19.008,59.800,1.2
64,07/25/19 01:48:55 AM,19.746,0.2683,17.843,68.000,1.2
65,07/25/19 02:48:55 AM,19.627,0.2676,18.033,71.000,1.2
66,07/25/19 03:48:55 AM,19.508,0.2676,17.534,70.400,1.2
67,07/25/19 04:48:55 AM,19.365,0.2676,17.201,74.000,1.2
68,07/25/19 05:48:55 AM,19.246,0.2668,17.011,77.100,1.2
69,07/25/19 06:48:55 AM,19.127,0.2668,17.272,79.500,1.2
