"Plot Title: Rollinson_C6"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 9663853, SEN S/N: 2445097)","Water Content, m³/m³ (LGR S/N: 9663853, SEN S/N: 9673985)","PAR, µmol/m²/s (LGR S/N: 9663853, SEN S/N: 9680258)","Temp, °F (LGR S/N: 9663853, SEN S/N: 10448529)","RH, % (LGR S/N: 9663853, SEN S/N: 10448529)"
1,01/11/19 11:33:43 AM,33.732,0.3039,2553.7,26.695,84.500
2,01/11/19 12:33:43 PM,33.732,0.3046,143.7,27.223,83.900
3,01/11/19 01:33:43 PM,33.732,0.3068,143.7,27.851,82.700
4,01/11/19 02:33:43 PM,33.732,0.3068,141.2,29.097,81.100
5,01/11/19 03:33:43 PM,33.732,0.3075,76.2,28.942,79.700
6,01/11/19 04:33:43 PM,33.732,0.3075,18.7,29.251,79.600
7,01/11/19 05:33:43 PM,33.732,0.3075,1.2,29.304,79.500
8,01/11/19 06:33:43 PM,33.681,0.3082,1.2,29.251,79.800
9,01/11/19 07:33:43 PM,33.681,0.3082,1.2,29.251,80.300
10,01/11/19 08:33:43 PM,33.681,0.3082,1.2,29.406,80.600
11,01/11/19 09:33:43 PM,33.681,0.3097,1.2,29.149,80.300
12,01/11/19 10:33:43 PM,33.681,0.3090,1.2,29.149,80.800
13,01/11/19 11:33:43 PM,33.681,0.3097,1.2,28.994,81.000
14,01/12/19 12:33:43 AM,33.681,0.3097,1.2,28.994,81.500
15,01/12/19 01:33:43 AM,33.681,0.3097,1.2,28.942,81.700
16,01/12/19 02:33:43 AM,33.633,0.3104,1.2,28.735,82.100
17,01/12/19 03:33:43 AM,33.633,0.3082,1.2,28.580,82.700
18,01/12/19 04:33:43 AM,33.633,0.3097,1.2,28.839,83.300
19,01/12/19 05:33:43 AM,33.633,0.3097,1.2,29.251,82.800
20,01/12/19 06:33:43 AM,33.633,0.3090,1.2,29.559,82.400
21,01/12/19 07:33:43 AM,33.633,0.3090,1.2,29.764,83.800
22,01/12/19 08:33:43 AM,33.633,0.3097,1.2,28.942,87.800
23,01/12/19 09:33:43 AM,33.633,0.3097,13.7,29.354,92.400
24,01/12/19 10:33:43 AM,33.633,0.3097,23.7,29.817,94.200
25,01/12/19 11:33:43 AM,33.633,0.3104,28.7,29.764,94.900
26,01/12/19 12:33:43 PM,33.633,0.3104,33.7,29.867,94.700
27,01/12/19 01:33:43 PM,33.633,0.3112,28.7,29.354,94.500
28,01/12/19 02:33:43 PM,33.633,0.3119,26.2,29.611,94.800
29,01/12/19 03:33:43 PM,33.633,0.3126,21.2,29.251,95.500
30,01/12/19 04:33:43 PM,33.633,0.3126,6.2,29.251,96.000
