"Plot Title: Rollinson_HH115"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 9663853, SEN S/N: 2445097)","Water Content, m³/m³ (LGR S/N: 9663853, SEN S/N: 9673985)","PAR, µmol/m²/s (LGR S/N: 9663853, SEN S/N: 9680258)","Temp, °F (LGR S/N: 9663853, SEN S/N: 10448529)","RH, % (LGR S/N: 9663853, SEN S/N: 10448529)"
1,02/22/19 10:26:46 AM,32.542,0.2254,353.7,35.395,74.100
2,02/22/19 11:26:46 AM,32.542,0.2247,516.2,38.557,70.800
3,02/22/19 12:26:46 PM,32.542,0.2240,523.7,38.889,67.300
4,02/22/19 01:26:46 PM,32.542,0.2356,378.7,40.905,63.800
5,02/22/19 02:26:46 PM,32.542,0.2676,413.7,40.998,61.000
6,02/22/19 03:26:46 PM,32.542,0.2944,263.7,39.596,60.600
7,02/22/19 04:26:46 PM,32.542,0.2908,106.2,36.505,63.300
8,02/22/19 05:26:46 PM,32.542,0.2777,26.2,34.516,68.200
9,02/22/19 06:26:46 PM,32.542,0.2668,1.2,32.342,75.200
10,02/22/19 07:26:46 PM,32.542,0.2618,1.2,31.791,79.800
11,02/22/19 08:26:46 PM,32.542,0.2574,1.2,31.743,81.300
12,02/22/19 09:26:46 PM,32.542,0.2538,1.2,32.043,83.700
13,02/22/19 10:26:46 PM,32.542,0.2509,1.2,32.990,84.900
14,02/22/19 11:26:46 PM,32.542,0.2494,1.2,34.124,84.700
15,02/23/19 12:26:46 AM,32.542,0.2480,1.2,34.468,83.100
16,02/23/19 01:26:46 AM,32.542,0.2465,1.2,33.780,80.700
17,02/23/19 02:26:46 AM,32.542,0.2458,1.2,33.928,81.800
18,02/23/19 03:26:46 AM,32.542,0.2451,1.2,34.174,81.500
19,02/23/19 04:26:46 AM,32.542,0.2443,1.2,34.615,81.400
20,02/23/19 05:26:46 AM,32.542,0.2443,1.2,34.320,81.700
21,02/23/19 06:26:46 AM,32.542,0.2436,1.2,34.124,83.900
22,02/23/19 07:26:46 AM,32.542,0.2429,3.7,35.103,83.300
23,02/23/19 08:26:46 AM,32.542,0.2429,23.7,35.733,81.300
24,02/23/19 09:26:46 AM,32.542,0.2414,28.7,34.907,84.200
25,02/23/19 10:26:46 AM,32.542,0.2392,28.7,33.485,90.500
26,02/23/19 11:26:46 AM,32.542,0.4295,43.7,33.039,94.400
27,02/23/19 12:26:46 PM,32.542,0.4274,76.2,33.435,96.000
28,02/23/19 01:26:46 PM,32.491,0.4310,118.7,34.174,96.700
29,02/23/19 02:26:46 PM,32.491,0.4179,86.2,34.713,97.100
30,02/23/19 03:26:46 PM,32.491,0.4150,63.7,35.685,97.500
31,02/23/19 04:26:46 PM,32.491,0.4150,28.7,35.733,97.800
32,02/23/19 05:26:46 PM,32.491,0.4172,8.7,36.072,98.200
33,02/23/19 06:26:46 PM,32.491,0.4361,1.2,37.274,98.400
34,02/23/19 07:26:46 PM,32.491,0.4332,1.2,39.313,98.700
35,02/23/19 08:26:46 PM,32.491,0.4397,1.2,40.998,99.000
36,02/23/19 09:26:46 PM,32.443,0.4441,1.2,44.173,99.300
37,02/23/19 10:26:46 PM,32.443,0.4477,1.2,47.467,99.700
38,02/23/19 11:26:46 PM,32.392,0.4470,1.2,44.582,99.700
39,02/24/19 12:26:46 AM,32.392,0.4463,1.2,44.218,99.800
40,02/24/19 01:26:46 AM,32.392,0.4455,1.2,43.306,99.800
41,02/24/19 02:26:46 AM,32.392,0.4455,1.2,43.122,100.000
42,02/24/19 03:26:46 AM,32.392,0.4448,1.2,42.294,99.900
43,02/24/19 04:26:46 AM,32.443,0.4426,1.2,37.035,97.500
