"Plot Title: Rollinson_HH115"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 9663853, SEN S/N: 2445097)","Water Content, m³/m³ (LGR S/N: 9663853, SEN S/N: 9673985)","PAR, µmol/m²/s (LGR S/N: 9663853, SEN S/N: 9680258)","Temp, °C (LGR S/N: 9663853, SEN S/N: 10448529)","RH, % (LGR S/N: 9663853, SEN S/N: 10448529)"
1,10/14/19 04:22:05 PM,10.075,0.3133,6.2,10.663,63.800
2,10/14/19 05:22:05 PM,10.149,0.3133,3.7,9.854,69.600
3,10/14/19 06:22:05 PM,10.222,0.3126,1.2,8.319,74.400
4,10/14/19 07:22:05 PM,10.222,0.3126,1.2,6.535,81.200
5,10/14/19 08:22:05 PM,10.173,0.3119,1.2,5.770,86.400
6,10/14/19 09:22:05 PM,10.075,0.3119,1.2,5.770,89.100
7,10/14/19 10:22:05 PM,9.952,0.3119,1.2,5.565,90.400
8,10/14/19 11:22:05 PM,9.854,0.3112,1.2,5.642,89.300
9,10/15/19 12:22:05 AM,9.756,0.3119,1.2,5.488,88.900
10,10/15/19 01:22:05 AM,9.657,0.3112,1.2,5.385,89.800
11,10/15/19 02:22:05 AM,9.583,0.3112,1.2,4.454,90.700
12,10/15/19 03:22:05 AM,9.485,0.3112,1.2,4.376,92.400
13,10/15/19 04:22:05 AM,9.410,0.3112,1.2,4.454,93.500
14,10/15/19 05:22:05 AM,9.336,0.3112,1.2,4.973,92.700
15,10/15/19 06:22:05 AM,9.238,0.3119,1.2,5.616,90.500
16,10/15/19 07:22:05 AM,9.163,0.3112,1.2,7.091,85.800
17,10/15/19 08:22:05 AM,9.139,0.3112,3.7,8.767,80.200
18,10/15/19 09:22:05 AM,9.163,0.3104,16.2,10.565,73.800
19,10/15/19 10:22:05 AM,9.287,0.3112,18.7,10.565,74.900
20,10/15/19 11:22:05 AM,9.485,0.3112,8.7,10.614,88.700
21,10/15/19 12:22:05 PM,9.657,0.3104,13.7,11.832,85.200
22,10/15/19 01:22:05 PM,9.829,0.3104,33.7,14.074,84.000
23,10/15/19 02:22:05 PM,10.075,0.3104,31.2,15.079,83.500
24,10/15/19 03:22:05 PM,10.369,0.3097,11.2,15.414,84.900
25,10/15/19 04:22:05 PM,10.638,0.3097,1.2,15.079,89.300
26,10/15/19 05:22:05 PM,10.858,0.3097,3.7,15.079,95.200
27,10/15/19 06:22:05 PM,11.029,0.3097,1.2,15.605,93.600
28,10/15/19 07:22:05 PM,11.175,0.3097,1.2,13.209,79.400
29,10/15/19 08:22:05 PM,11.248,0.3090,1.2,11.224,78.800
30,10/15/19 09:22:05 PM,11.224,0.3090,1.2,10.907,79.300
31,10/15/19 10:22:05 PM,11.151,0.3090,1.2,9.262,76.700
32,10/15/19 11:22:05 PM,11.053,0.3090,1.2,8.568,77.400
33,10/16/19 12:22:05 AM,10.907,0.3082,1.2,8.045,80.200
34,10/16/19 01:22:05 AM,10.785,0.3090,1.2,7.695,81.000
35,10/16/19 02:22:05 AM,10.663,0.3082,1.2,7.770,80.600
36,10/16/19 03:22:05 AM,10.541,0.3082,1.2,7.469,80.500
37,10/16/19 04:22:05 AM,10.418,0.3082,1.2,7.720,80.500
38,10/16/19 05:22:05 AM,10.320,0.3082,1.2,7.318,80.600
39,10/16/19 06:22:05 AM,10.222,0.3082,1.2,7.268,83.000
40,10/16/19 07:22:05 AM,10.149,0.3075,1.2,7.242,83.500
41,10/16/19 08:22:05 AM,10.075,0.3075,1.2,7.494,81.800
42,10/16/19 09:22:05 AM,10.001,0.3068,8.7,7.995,80.800
43,10/16/19 10:22:05 AM,9.952,0.3075,23.7,8.866,78.500
44,10/16/19 11:22:05 AM,9.977,0.3068,26.2,9.040,74.600
45,10/16/19 12:22:05 PM,10.026,0.3068,31.2,9.682,72.600
46,10/16/19 01:22:05 PM,10.075,0.3068,23.7,10.198,71.400
47,10/16/19 02:22:05 PM,10.124,0.3053,23.7,9.977,70.200
48,10/16/19 03:22:05 PM,10.173,0.3053,21.2,10.222,68.300
49,10/16/19 04:22:05 PM,10.222,0.3053,11.2,10.026,68.100
50,10/16/19 05:22:05 PM,10.247,0.3053,6.2,9.682,70.800
51,10/16/19 06:22:05 PM,10.271,0.3046,1.2,7.970,72.800
52,10/16/19 07:22:05 PM,10.271,0.3046,1.2,6.661,81.800
53,10/16/19 08:22:05 PM,10.198,0.3039,1.2,5.642,85.800
54,10/16/19 09:22:05 PM,10.075,0.3039,1.2,5.282,88.200
55,10/16/19 10:22:05 PM,9.952,0.3046,1.2,5.154,88.900
56,10/16/19 11:22:05 PM,9.829,0.3046,1.2,4.792,90.600
57,10/17/19 12:22:05 AM,9.706,0.3039,1.2,5.128,90.900
58,10/17/19 01:22:05 AM,9.608,0.3039,1.2,4.428,91.800
59,10/17/19 02:22:05 AM,9.509,0.3039,1.2,3.906,92.900
60,10/17/19 03:22:05 AM,9.410,0.3039,1.2,4.532,93.900
61,10/17/19 04:22:05 AM,9.312,0.3039,1.2,4.480,93.100
62,10/17/19 05:22:05 AM,9.262,0.3039,1.2,4.141,93.300
63,10/17/19 06:22:05 AM,9.188,0.3039,1.2,3.538,94.100
64,10/17/19 07:22:05 AM,9.114,0.3039,1.2,4.194,95.200
65,10/17/19 08:22:05 AM,9.040,0.3039,1.2,4.532,94.600
66,10/17/19 09:22:05 AM,8.990,0.3039,11.2,6.864,93.000
67,10/17/19 10:22:05 AM,9.015,0.3039,33.7,8.693,83.300
68,10/17/19 11:22:05 AM,9.139,0.3039,23.7,10.026,75.700
69,10/17/19 12:22:05 PM,9.287,0.3032,33.7,10.296,72.400
70,10/17/19 01:22:05 PM,9.460,0.3032,33.7,10.516,71.500
71,10/17/19 02:22:05 PM,9.632,0.3024,28.7,10.785,71.100
72,10/17/19 03:22:05 PM,9.780,0.3017,23.7,10.834,70.600
73,10/17/19 04:22:05 PM,9.903,0.3024,13.7,10.638,71.600
74,10/17/19 05:22:05 PM,10.001,0.3017,6.2,10.149,77.200
75,10/17/19 06:22:05 PM,10.051,0.3017,1.2,7.895,79.500
76,10/17/19 07:22:05 PM,10.051,0.3010,1.2,6.788,87.500
77,10/17/19 08:22:05 PM,9.977,0.3010,1.2,6.306,90.400
