"Plot Title: Rollinson_A1 "
"#","Time, GMT-05:00","PAR, uE()","Temp, °F()","RH, %()"
1,07/26/17 10:48:38 AM,2223.7,81.111,84.700
2,07/26/17 11:48:38 AM,18.7,77.203,83.700
3,07/26/17 12:48:38 PM,41.2,79.084,83.000
4,07/26/17 01:48:38 PM,38.7,78.822,81.800
5,07/26/17 02:48:38 PM,21.2,79.392,84.000
6,07/26/17 03:48:38 PM,13.7,78.121,85.100
7,07/26/17 04:48:38 PM,8.7,77.684,86.200
8,07/26/17 05:48:38 PM,6.2,77.421,86.500
9,07/26/17 06:48:38 PM,1.2,77.029,88.000
10,07/26/17 07:48:38 PM,1.2,76.854,88.800
11,07/26/17 08:48:38 PM,1.2,75.985,88.900
12,07/26/17 09:48:38 PM,1.2,75.117,89.900
13,07/26/17 10:48:38 PM,1.2,73.990,91.800
14,07/26/17 11:48:38 PM,1.2,73.083,96.800
15,07/27/17 12:48:38 AM,1.2,72.307,98.700
16,07/27/17 01:48:38 AM,1.2,71.490,99.200
17,07/27/17 02:48:38 AM,1.2,70.887,99.600
18,07/27/17 03:48:38 AM,1.2,70.716,99.800
19,07/27/17 04:48:38 AM,1.2,70.543,100.000
20,07/27/17 05:48:38 AM,1.2,70.329,100.000
21,07/27/17 06:48:38 AM,1.2,69.942,100.000
22,07/27/17 07:48:38 AM,1.2,70.630,100.000
23,07/27/17 08:48:38 AM,6.2,72.480,100.000
24,07/27/17 09:48:38 AM,11.2,73.472,100.000
25,07/27/17 10:48:38 AM,16.2,75.985,96.400
26,07/27/17 11:48:38 AM,21.2,77.639,86.600
27,07/27/17 12:48:38 PM,38.7,78.165,85.400
28,07/27/17 01:48:38 PM,38.7,78.382,85.100
