"Plot Title: Rollinson_N115"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 9663852, SEN S/N: 2445098)","Water Content, m³/m³ (LGR S/N: 9663852, SEN S/N: 9673987)","PAR, µmol/m²/s (LGR S/N: 9663852, SEN S/N: 9680255)","Temp, °C (LGR S/N: 9663852, SEN S/N: 20210256)","RH, % (LGR S/N: 9663852, SEN S/N: 20210256)"
1,07/22/19 12:59:23 PM,20.055,0.1238,11.2,21.509,57.400
2,07/22/19 01:59:23 PM,20.055,0.1230,23.7,22.106,52.500
3,07/22/19 02:59:23 PM,20.055,0.1209,11.2,22.154,47.800
4,07/22/19 03:59:23 PM,20.031,0.1194,13.7,22.298,52.200
5,07/22/19 04:59:23 PM,20.031,0.1194,6.2,21.509,57.000
6,07/22/19 05:59:23 PM,20.007,0.1180,3.7,21.509,64.000
7,07/22/19 06:59:23 PM,19.984,0.1165,1.2,20.865,63.500
8,07/22/19 07:59:23 PM,19.960,0.1158,1.2,19.674,65.500
9,07/22/19 08:59:23 PM,19.936,0.1158,1.2,18.343,67.400
10,07/22/19 09:59:23 PM,19.912,0.1136,1.2,16.820,72.300
11,07/22/19 10:59:23 PM,19.841,0.1136,1.2,16.153,77.900
12,07/22/19 11:59:23 PM,19.770,0.1129,1.2,15.891,82.800
13,07/23/19 12:59:23 AM,19.674,0.1136,1.2,16.129,84.500
14,07/23/19 01:59:23 AM,19.603,0.1121,1.2,15.843,86.300
15,07/23/19 02:59:23 AM,19.508,0.1121,1.2,16.272,85.400
16,07/23/19 03:59:23 AM,19.436,0.1121,1.2,15.772,85.300
17,07/23/19 04:59:23 AM,19.341,0.1107,1.2,15.581,85.200
18,07/23/19 05:59:23 AM,19.270,0.1114,1.2,15.294,87.100
19,07/23/19 06:59:23 AM,19.199,0.1107,1.2,16.058,88.600
20,07/23/19 07:59:23 AM,19.127,0.1107,3.7,17.629,88.600
21,07/23/19 08:59:23 AM,19.056,0.1107,8.7,19.460,85.100
22,07/23/19 09:59:23 AM,19.032,0.1100,8.7,21.485,75.900
23,07/23/19 10:59:23 AM,19.056,0.1085,11.2,22.609,71.500
24,07/23/19 11:59:23 AM,19.103,0.1078,18.7,23.280,70.000
25,07/23/19 12:59:23 PM,19.175,0.1063,21.2,24.508,67.300
26,07/23/19 01:59:23 PM,19.222,0.1056,13.7,24.750,57.900
27,07/23/19 02:59:23 PM,19.294,0.1049,13.7,24.798,56.400
28,07/23/19 03:59:23 PM,19.365,0.1034,13.7,24.339,58.000
29,07/23/19 04:59:23 PM,19.413,0.1027,21.2,24.219,57.000
30,07/23/19 05:59:23 PM,19.460,0.1020,6.2,23.400,58.900
31,07/23/19 06:59:23 PM,19.484,0.1012,1.2,22.585,66.300
32,07/23/19 07:59:23 PM,19.508,0.1012,1.2,21.103,71.600
33,07/23/19 08:59:23 PM,19.508,0.1005,1.2,19.960,77.500
34,07/23/19 09:59:23 PM,19.508,0.1005,1.2,19.151,78.300
35,07/23/19 10:59:23 PM,19.484,0.1005,1.2,18.461,81.900
36,07/23/19 11:59:23 PM,19.436,0.0991,1.2,17.558,84.400
37,07/24/19 12:59:23 AM,19.389,0.0991,1.2,16.820,88.900
38,07/24/19 01:59:23 AM,19.318,0.0991,1.2,16.487,91.500
39,07/24/19 02:59:23 AM,19.246,0.0991,1.2,15.915,93.400
40,07/24/19 03:59:23 AM,19.175,0.0983,1.2,15.963,94.700
41,07/24/19 04:59:23 AM,19.103,0.0983,1.2,15.652,94.900
42,07/24/19 05:59:23 AM,19.032,0.0976,1.2,15.461,95.300
43,07/24/19 06:59:23 AM,18.961,0.0976,1.2,16.272,95.900
44,07/24/19 07:59:23 AM,18.889,0.0962,3.7,18.010,95.300
45,07/24/19 08:59:23 AM,18.866,0.0976,8.7,20.031,86.600
46,07/24/19 09:59:23 AM,18.842,0.0969,8.7,21.127,72.700
47,07/24/19 10:59:23 AM,18.866,0.0954,11.2,22.393,65.700
48,07/24/19 11:59:23 AM,18.889,0.0947,16.2,23.545,57.700
49,07/24/19 12:59:23 PM,18.937,0.0940,26.2,24.122,53.300
50,07/24/19 01:59:23 PM,18.985,0.0933,11.2,24.388,48.200
51,07/24/19 02:59:23 PM,19.056,0.0925,13.7,24.508,45.600
52,07/24/19 03:59:23 PM,19.103,0.0918,11.2,24.557,48.700
53,07/24/19 04:59:23 PM,19.151,0.0911,8.7,23.665,50.500
54,07/24/19 05:59:23 PM,19.175,0.0904,3.7,23.785,51.400
55,07/24/19 06:59:23 PM,19.199,0.0904,1.2,22.729,53.900
56,07/24/19 07:59:23 PM,19.199,0.0896,1.2,21.724,54.900
57,07/24/19 08:59:23 PM,19.199,0.0889,1.2,20.674,50.300
58,07/24/19 09:59:23 PM,19.199,0.0889,1.2,19.199,57.900
59,07/24/19 10:59:23 PM,19.175,0.0889,1.2,17.891,66.400
60,07/24/19 11:59:23 PM,19.103,0.0874,1.2,17.510,72.500
61,07/25/19 12:59:23 AM,19.056,0.0867,1.2,17.391,68.100
62,07/25/19 01:59:23 AM,18.985,0.0874,1.2,16.153,77.800
63,07/25/19 02:59:23 AM,18.913,0.0860,1.2,16.201,78.900
