"Plot Title: Rollinson_B5 "
"#","Time, GMT-05:00","Temp, °F()","Water Content, m³/m³()","Temp, °F()","RH, %()","PAR, uE()"
1,10/02/17 10:52:30 AM,60.174,0.0279,70.930,53.500,16.2
2,10/02/17 11:52:30 AM,60.346,0.0257,76.203,48.200,36.2
3,10/02/17 12:52:30 PM,60.647,0.0257,77.203,43.900,38.7
4,10/02/17 01:52:30 PM,60.991,0.0257,80.272,41.600,31.2
5,10/02/17 02:52:30 PM,61.333,0.0257,79.788,40.100,23.7
6,10/02/17 03:52:30 PM,61.677,0.0250,80.184,41.100,11.2
7,10/02/17 04:52:30 PM,61.977,0.0257,80.051,39.400,11.2
8,10/02/17 05:52:30 PM,62.233,0.0250,78.822,39.700,6.2
9,10/02/17 06:52:30 PM,62.406,0.0250,76.986,41.400,1.2
10,10/02/17 07:52:30 PM,62.577,0.0250,74.683,43.300,1.2
11,10/02/17 08:52:30 PM,62.661,0.0250,73.558,44.800,1.2
12,10/02/17 09:52:30 PM,62.661,0.0250,72.351,44.400,1.2
13,10/02/17 10:52:30 PM,62.661,0.0243,71.877,42.400,1.2
14,10/02/17 11:52:30 PM,62.620,0.0243,70.974,43.100,1.2
15,10/03/17 12:52:30 AM,62.577,0.0243,69.858,49.300,1.2
16,10/03/17 01:52:30 AM,62.533,0.0243,68.443,58.600,1.2
17,10/03/17 02:52:30 AM,62.490,0.0243,66.814,65.100,1.2
18,10/03/17 03:52:30 AM,62.490,0.0243,67.798,70.000,1.2
19,10/03/17 04:52:30 AM,62.447,0.0243,67.714,71.500,1.2
20,10/03/17 05:52:30 AM,62.406,0.0243,67.114,74.000,1.2
21,10/03/17 06:52:30 AM,62.447,0.0243,67.329,75.100,1.2
22,10/03/17 07:52:30 AM,62.447,0.0243,67.714,76.100,1.2
23,10/03/17 08:52:30 AM,62.447,0.0243,68.227,76.400,6.2
24,10/03/17 09:52:30 AM,62.490,0.0243,68.871,81.100,8.7
25,10/03/17 10:52:30 AM,62.577,0.0243,69.858,82.400,18.7
26,10/03/17 11:52:30 AM,62.661,0.0243,71.620,81.400,21.2
27,10/03/17 12:52:30 PM,62.834,0.0243,69.427,86.300,16.2
28,10/03/17 01:52:30 PM,63.005,0.0243,72.696,86.300,21.2
29,10/03/17 02:52:30 PM,63.176,0.0243,75.376,78.400,21.2
30,10/03/17 03:52:30 PM,63.390,0.0250,76.593,71.200,13.7
31,10/03/17 04:52:30 PM,63.561,0.0250,76.375,70.100,3.7
32,10/03/17 05:52:30 PM,63.732,0.0250,76.203,70.100,3.7
33,10/03/17 06:52:30 PM,63.903,0.0250,75.247,70.900,1.2
34,10/03/17 07:52:30 PM,64.033,0.0250,73.774,75.600,1.2
35,10/03/17 08:52:30 PM,64.074,0.0250,72.136,79.200,1.2
36,10/03/17 09:52:30 PM,64.161,0.0243,70.459,83.800,1.2
37,10/03/17 10:52:30 PM,64.161,0.0250,69.471,86.200,1.2
38,10/03/17 11:52:30 PM,64.161,0.0243,69.300,88.000,1.2
39,10/04/17 12:52:30 AM,64.117,0.0243,70.286,87.800,1.2
40,10/04/17 01:52:30 AM,64.117,0.0250,69.643,87.400,1.2
41,10/04/17 02:52:30 AM,64.117,0.0250,69.514,88.200,1.2
42,10/04/17 03:52:30 AM,64.117,0.0243,69.858,88.100,1.2
43,10/04/17 04:52:30 AM,64.117,0.0250,70.286,87.900,1.2
44,10/04/17 05:52:30 AM,64.117,0.0250,70.372,88.200,1.2
45,10/04/17 06:52:30 AM,64.161,0.0243,70.502,88.800,1.2
46,10/04/17 07:52:30 AM,64.161,0.0250,70.201,90.100,1.2
47,10/04/17 08:52:30 AM,64.204,0.0250,69.129,93.500,1.2
48,10/04/17 09:52:30 AM,64.204,0.0250,67.242,95.400,1.2
49,10/04/17 10:52:30 AM,64.204,0.0272,65.574,96.000,1.2
50,10/04/17 11:52:30 AM,64.204,0.0272,63.946,94.700,13.7
51,10/04/17 12:52:30 PM,64.161,0.0272,65.615,89.800,16.2
