"Plot Title: Rollinson_B5 "
"#","Time, GMT-05:00","Temp, °F()","Temp, °F()","RH, %()","PAR, uE()","Water Content, m³/m³()"
1,06/27/18 11:52:47 AM,65.916,70.416,94.400,6.2,0.3315
2,06/27/18 12:52:47 PM,65.916,72.221,93.100,13.7,0.3300
3,06/27/18 01:52:47 PM,66.000,74.899,86.700,16.2,0.3286
4,06/27/18 02:52:47 PM,66.130,75.247,84.600,18.7,0.3279
5,06/27/18 03:52:47 PM,66.301,76.419,83.400,23.7,0.3264
6,06/27/18 04:52:47 PM,66.472,75.376,83.600,13.7,0.3264
7,06/27/18 05:52:47 PM,66.643,73.299,83.800,6.2,0.3257
8,06/27/18 06:52:47 PM,66.772,73.731,84.300,3.7,0.3250
9,06/27/18 07:52:47 PM,66.857,71.920,87.300,1.2,0.3242
10,06/27/18 08:52:47 PM,66.857,70.115,90.500,1.2,0.3242
11,06/27/18 09:52:47 PM,66.857,68.999,92.600,1.2,0.3242
12,06/27/18 10:52:47 PM,66.814,67.456,94.200,1.2,0.3235
13,06/27/18 11:52:47 PM,66.729,66.344,95.400,1.2,0.3235
14,06/28/18 12:52:47 AM,66.643,65.444,96.300,1.2,0.3228
15,06/28/18 01:52:47 AM,66.515,64.760,97.100,1.2,0.3228
16,06/28/18 02:52:47 AM,66.385,64.375,97.600,1.2,0.3228
17,06/28/18 03:52:47 AM,66.214,63.689,98.100,1.2,0.3220
18,06/28/18 04:52:47 AM,66.043,63.689,98.400,1.2,0.3220
19,06/28/18 05:52:47 AM,65.916,63.005,98.500,1.2,0.3220
20,06/28/18 06:52:47 AM,65.745,64.332,98.600,1.2,0.3220
21,06/28/18 07:52:47 AM,65.615,67.842,98.800,3.7,0.3220
22,06/28/18 08:52:47 AM,65.487,71.704,98.100,8.7,0.3220
23,06/28/18 09:52:47 AM,65.487,75.247,89.000,8.7,0.3213
24,06/28/18 10:52:47 AM,65.615,77.292,81.600,13.7,0.3213
25,06/28/18 11:52:47 AM,65.788,79.524,74.700,18.7,0.3213
26,06/28/18 12:52:47 PM,66.043,80.625,69.900,36.2,0.3206
27,06/28/18 01:52:47 PM,66.344,82.886,67.000,31.2,0.3199
28,06/28/18 02:52:47 PM,66.643,81.597,66.900,33.7,0.3191
29,06/28/18 03:52:47 PM,66.943,80.935,70.200,46.2,0.3184
30,06/28/18 04:52:47 PM,67.242,80.139,76.000,8.7,0.3177
31,06/28/18 05:52:47 PM,67.500,78.996,77.400,8.7,0.3170
32,06/28/18 06:52:47 PM,67.671,78.777,79.600,6.2,0.3170
33,06/28/18 07:52:47 PM,67.798,78.251,78.900,1.2,0.3170
34,06/28/18 08:52:47 PM,67.928,76.593,81.000,1.2,0.3170
35,06/28/18 09:52:47 PM,68.013,74.554,85.100,1.2,0.3170
36,06/28/18 10:52:47 PM,68.013,73.429,88.900,1.2,0.3162
37,06/28/18 11:52:47 PM,68.013,72.178,91.500,1.2,0.3162
38,06/29/18 12:52:47 AM,67.971,70.930,92.900,1.2,0.3162
39,06/29/18 01:52:47 AM,67.928,69.814,94.800,1.2,0.3162
40,06/29/18 02:52:47 AM,67.842,70.372,95.700,1.2,0.3162
41,06/29/18 03:52:47 AM,67.757,70.029,96.200,1.2,0.3155
42,06/29/18 04:52:47 AM,67.671,69.213,96.500,1.2,0.3162
43,06/29/18 05:52:47 AM,67.586,71.404,96.300,1.2,0.3155
44,06/29/18 06:52:47 AM,67.500,71.404,94.500,1.2,0.3155
45,06/29/18 07:52:47 AM,67.413,74.813,93.700,3.7,0.3162
46,06/29/18 08:52:47 AM,67.413,76.725,89.100,8.7,0.3155
47,06/29/18 09:52:47 AM,67.456,78.733,84.100,13.7,0.3155
48,06/29/18 10:52:47 AM,67.586,81.333,78.400,13.7,0.3148
49,06/29/18 11:52:47 AM,67.757,83.824,76.100,13.7,0.3148
50,06/29/18 12:52:47 PM,68.013,85.622,75.300,28.7,0.3148
51,06/29/18 01:52:47 PM,68.270,87.346,72.400,16.2,0.3148
52,06/29/18 02:52:47 PM,68.657,88.306,70.700,33.7,0.3141
53,06/29/18 03:52:47 PM,68.999,88.351,72.800,106.2,0.3133
54,06/29/18 04:52:47 PM,69.386,87.847,74.700,11.2,0.3133
55,06/29/18 05:52:47 PM,69.728,87.028,76.600,8.7,0.3119
56,06/29/18 06:52:47 PM,70.029,86.391,77.000,3.7,0.3119
57,06/29/18 07:52:47 PM,70.243,85.262,78.100,1.2,0.3112
58,06/29/18 08:52:47 PM,70.416,84.677,81.400,1.2,0.3112
59,06/29/18 09:52:47 PM,70.543,83.021,84.500,1.2,0.3112
