"Plot Title: Rollinson_U134"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 9663854, SEN S/N: 2445099)","Temp, °F (LGR S/N: 9663854, SEN S/N: 20145886)","RH, % (LGR S/N: 9663854, SEN S/N: 20145886)","PAR, µmol/m²/s (LGR S/N: 9663854, SEN S/N: 20210397)","Water Content, m³/m³ (LGR S/N: 9663854, SEN S/N: 20267513)"
1,03/27/19 01:00:35 PM,36.986,55.992,31.400,633.7,0.1913
2,03/27/19 02:00:35 PM,37.513,58.498,31.700,633.7,0.1913
3,03/27/19 03:00:35 PM,38.415,59.358,31.900,543.7,0.1920
4,03/27/19 04:00:35 PM,39.220,59.529,33.200,383.7,0.1913
5,03/27/19 05:00:35 PM,39.783,58.541,35.300,296.2,0.1920
6,03/27/19 06:00:35 PM,40.158,56.469,38.900,86.2,0.1920
7,03/27/19 07:00:35 PM,40.345,55.472,42.300,23.7,0.1913
8,03/27/19 08:00:35 PM,40.392,54.082,44.900,1.2,0.1920
9,03/27/19 09:00:35 PM,40.392,53.298,46.700,1.2,0.1913
10,03/27/19 10:00:35 PM,40.345,51.764,48.500,1.2,0.1906
11,03/27/19 11:00:35 PM,40.298,46.391,70.100,1.2,0.1833
12,03/28/19 12:00:35 AM,40.251,46.031,83.000,1.2,0.1848
13,03/28/19 01:00:35 AM,40.251,46.751,80.300,1.2,0.1848
14,03/28/19 02:00:35 AM,40.204,47.377,77.400,1.2,0.1855
15,03/28/19 03:00:35 AM,40.158,47.422,76.800,1.2,0.1862
16,03/28/19 04:00:35 AM,40.111,48.004,78.500,1.2,0.1862
17,03/28/19 05:00:35 AM,40.158,48.628,77.300,1.2,0.1862
18,03/28/19 06:00:35 AM,40.158,48.004,75.700,1.2,0.1862
19,03/28/19 07:00:35 AM,40.111,47.199,78.400,1.2,0.1862
20,03/28/19 08:00:35 AM,40.111,49.383,78.800,63.7,0.1862
21,03/28/19 09:00:35 AM,40.111,51.852,74.100,161.2,0.1862
22,03/28/19 10:00:35 AM,40.298,55.819,68.600,251.2,0.1870
23,03/28/19 11:00:35 AM,40.626,60.861,62.400,668.7,0.1884
24,03/28/19 12:00:35 PM,41.137,61.891,56.700,548.7,0.1913
25,03/28/19 01:00:35 PM,41.878,64.204,55.400,523.7,0.1920
26,03/28/19 02:00:35 PM,42.616,62.447,57.600,261.2,0.1920
27,03/28/19 03:00:35 PM,43.259,66.087,58.000,396.2,0.1920
28,03/28/19 04:00:35 PM,43.763,65.273,57.400,228.7,0.1928
29,03/28/19 05:00:35 PM,44.173,58.023,58.700,131.2,0.1928
30,03/28/19 06:00:35 PM,44.355,51.501,64.900,88.7,0.1928
31,03/28/19 07:00:35 PM,44.263,49.649,69.700,11.2,0.1928
32,03/28/19 08:00:35 PM,44.037,47.914,70.600,1.2,0.1928
33,03/28/19 09:00:35 PM,43.716,46.481,71.900,1.2,0.1928
34,03/28/19 10:00:35 PM,43.443,46.166,72.300,1.2,0.1920
35,03/28/19 11:00:35 PM,43.122,45.217,75.300,1.2,0.1855
36,03/29/19 12:00:35 AM,42.892,45.036,76.200,1.2,0.1870
37,03/29/19 01:00:35 AM,42.663,44.809,76.400,1.2,0.1877
38,03/29/19 02:00:35 AM,42.478,45.489,74.900,1.2,0.1877
39,03/29/19 03:00:35 AM,42.341,45.354,68.600,1.2,0.1884
40,03/29/19 04:00:35 AM,42.156,42.663,64.300,1.2,0.1884
41,03/29/19 05:00:35 AM,41.970,41.043,67.100,1.2,0.1884
42,03/29/19 06:00:35 AM,41.693,39.502,69.000,1.2,0.1877
43,03/29/19 07:00:35 AM,41.416,37.081,79.100,3.7,0.1870
44,03/29/19 08:00:35 AM,41.137,42.984,75.500,68.7,0.1877
45,03/29/19 09:00:35 AM,40.951,46.526,68.400,163.7,0.1891
46,03/29/19 10:00:35 AM,40.951,49.338,60.000,296.2,0.1906
47,03/29/19 11:00:35 AM,41.137,52.291,52.300,486.2,0.1913
48,03/29/19 12:00:35 PM,41.508,55.256,48.300,431.2,0.1913
49,03/29/19 01:00:35 PM,41.970,55.690,45.600,581.2,0.1913
50,03/29/19 02:00:35 PM,42.525,57.850,41.800,583.7,0.1913
51,03/29/19 03:00:35 PM,43.030,58.152,42.000,401.2,0.1920
52,03/29/19 04:00:35 PM,43.488,56.599,42.200,303.7,0.1920
53,03/29/19 05:00:35 PM,43.716,54.037,46.100,146.2,0.1913
54,03/29/19 06:00:35 PM,43.853,51.148,48.200,68.7,0.1920
55,03/29/19 07:00:35 PM,43.763,48.538,54.000,13.7,0.1920
56,03/29/19 08:00:35 PM,43.579,46.931,61.100,1.2,0.1913
57,03/29/19 09:00:35 PM,43.351,42.433,74.300,1.2,0.1790
58,03/29/19 10:00:35 PM,43.122,40.298,89.000,1.2,0.2138
59,03/29/19 11:00:35 PM,42.847,39.502,92.400,1.2,0.2414
60,03/30/19 12:00:35 AM,42.570,38.131,94.000,1.2,0.2371
61,03/30/19 01:00:35 AM,42.247,37.560,94.600,1.2,0.2320
62,03/30/19 02:00:35 AM,41.925,37.513,95.000,1.2,0.2313
63,03/30/19 03:00:35 AM,41.648,37.702,95.200,1.2,0.2247
64,03/30/19 04:00:35 AM,41.416,38.368,95.800,1.2,0.2153
65,03/30/19 05:00:35 AM,41.277,38.557,96.100,1.2,0.2116
66,03/30/19 06:00:35 AM,41.137,38.511,96.800,1.2,0.2109
67,03/30/19 07:00:35 AM,41.043,37.942,96.900,1.2,0.2080
68,03/30/19 08:00:35 AM,40.951,38.322,94.500,28.7,0.2051
69,03/30/19 09:00:35 AM,40.905,40.111,88.600,78.7,0.2029
70,03/30/19 10:00:35 AM,40.858,41.740,80.300,153.7,0.2015
