"Plot Title: Rollinson_U134"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 9663854, SEN S/N: 2445099)","Temp, °C (LGR S/N: 9663854, SEN S/N: 20145886)","RH, % (LGR S/N: 9663854, SEN S/N: 20145886)","PAR, µmol/m²/s (LGR S/N: 9663854, SEN S/N: 20210397)","Water Content, m³/m³ (LGR S/N: 9663854, SEN S/N: 20267513)"
1,07/22/19 12:23:25 PM,19.936,21.461,63.400,16.2,0.2233
2,07/22/19 01:23:25 PM,19.960,22.298,56.800,48.7,0.2211
3,07/22/19 02:23:25 PM,19.936,22.250,50.200,43.7,0.2211
4,07/22/19 03:23:25 PM,19.912,22.298,49.300,28.7,0.2211
5,07/22/19 04:23:25 PM,19.888,22.154,52.200,8.7,0.2204
6,07/22/19 05:23:25 PM,19.865,21.963,56.000,11.2,0.2204
7,07/22/19 06:23:25 PM,19.865,21.390,57.800,3.7,0.2196
8,07/22/19 07:23:25 PM,19.817,20.674,60.200,1.2,0.2196
9,07/22/19 08:23:25 PM,19.770,19.865,61.200,1.2,0.2189
10,07/22/19 09:23:25 PM,19.698,17.796,68.400,1.2,0.2189
11,07/22/19 10:23:25 PM,19.603,16.344,72.100,1.2,0.2182
12,07/22/19 11:23:25 PM,19.484,15.079,80.400,1.2,0.2167
13,07/23/19 12:23:25 AM,19.341,14.601,88.300,1.2,0.2167
14,07/23/19 01:23:25 AM,19.175,14.409,91.400,1.2,0.2167
15,07/23/19 02:23:25 AM,19.032,14.721,93.500,1.2,0.2167
16,07/23/19 03:23:25 AM,18.913,14.745,93.900,1.2,0.2167
17,07/23/19 04:23:25 AM,18.818,14.385,93.800,1.2,0.2167
18,07/23/19 05:23:25 AM,18.723,15.127,91.800,1.2,0.2160
19,07/23/19 06:23:25 AM,18.628,15.294,92.700,1.2,0.2160
20,07/23/19 07:23:25 AM,18.557,16.439,91.200,1.2,0.2160
21,07/23/19 08:23:25 AM,18.509,18.438,88.700,6.2,0.2167
22,07/23/19 09:23:25 AM,18.533,20.412,84.400,11.2,0.2167
23,07/23/19 10:23:25 AM,18.652,22.417,77.100,13.7,0.2175
24,07/23/19 11:23:25 AM,18.794,23.545,70.000,16.2,0.2175
25,07/23/19 12:23:25 PM,18.961,24.146,68.100,21.2,0.2175
26,07/23/19 01:23:25 PM,19.127,24.895,63.200,18.7,0.2175
27,07/23/19 02:23:25 PM,19.294,25.040,57.600,31.2,0.2167
28,07/23/19 03:23:25 PM,19.413,24.895,58.800,26.2,0.2167
29,07/23/19 04:23:25 PM,19.532,24.460,59.900,11.2,0.2167
30,07/23/19 05:23:25 PM,19.603,23.978,58.700,13.7,0.2167
31,07/23/19 06:23:25 PM,19.674,23.352,61.800,3.7,0.2160
32,07/23/19 07:23:25 PM,19.674,22.585,66.000,1.2,0.2160
33,07/23/19 08:23:25 PM,19.674,20.674,73.100,1.2,0.2160
34,07/23/19 09:23:25 PM,19.651,19.746,76.900,1.2,0.2160
35,07/23/19 10:23:25 PM,19.579,18.580,80.200,1.2,0.2153
36,07/23/19 11:23:25 PM,19.484,17.701,83.800,1.2,0.2153
37,07/24/19 12:23:25 AM,19.389,16.606,87.300,1.2,0.2153
38,07/24/19 01:23:25 AM,19.270,15.963,91.700,1.2,0.2146
39,07/24/19 02:23:25 AM,19.127,15.652,93.500,1.2,0.2146
40,07/24/19 03:23:25 AM,19.008,15.342,94.600,1.2,0.2146
41,07/24/19 04:23:25 AM,18.866,14.912,95.300,1.2,0.2146
42,07/24/19 05:23:25 AM,18.747,15.223,95.900,1.2,0.2146
43,07/24/19 06:23:25 AM,18.628,14.888,96.100,1.2,0.2146
44,07/24/19 07:23:25 AM,18.533,16.201,96.500,3.7,0.2138
45,07/24/19 08:23:25 AM,18.485,18.699,94.700,8.7,0.2138
46,07/24/19 09:23:25 AM,18.485,20.722,83.300,11.2,0.2146
47,07/24/19 10:23:25 AM,18.604,22.345,72.100,13.7,0.2138
48,07/24/19 11:23:25 AM,18.723,23.424,58.000,16.2,0.2146
49,07/24/19 12:23:25 PM,18.866,24.146,51.200,21.2,0.2138
50,07/24/19 01:23:25 PM,18.985,24.388,47.800,26.2,0.2146
51,07/24/19 02:23:25 PM,19.080,24.532,47.200,33.7,0.2138
52,07/24/19 03:23:25 PM,19.175,24.726,45.200,28.7,0.2138
53,07/24/19 04:23:25 PM,19.270,24.363,47.100,11.2,0.2138
54,07/24/19 05:23:25 PM,19.341,23.881,48.900,21.2,0.2138
55,07/24/19 06:23:25 PM,19.389,23.376,53.600,3.7,0.2138
56,07/24/19 07:23:25 PM,19.413,21.987,61.200,1.2,0.2131
57,07/24/19 08:23:25 PM,19.413,20.603,60.300,1.2,0.2131
58,07/24/19 09:23:25 PM,19.365,19.865,54.700,1.2,0.2131
59,07/24/19 10:23:25 PM,19.270,18.200,69.400,1.2,0.2131
60,07/24/19 11:23:25 PM,19.151,16.463,76.300,1.2,0.2131
61,07/25/19 12:23:25 AM,19.008,15.629,81.100,1.2,0.2124
62,07/25/19 01:23:25 AM,18.866,15.557,83.000,1.2,0.2124
63,07/25/19 02:23:25 AM,18.699,14.816,85.400,1.2,0.2124
64,07/25/19 03:23:25 AM,18.557,14.409,88.600,1.2,0.2124
65,07/25/19 04:23:25 AM,18.414,13.906,89.900,1.2,0.2124
66,07/25/19 05:23:25 AM,18.271,14.002,91.400,1.2,0.2124
67,07/25/19 06:23:25 AM,18.152,14.266,92.500,1.2,0.2124
68,07/25/19 07:23:25 AM,18.033,15.963,92.100,1.2,0.2124
69,07/25/19 08:23:25 AM,17.986,18.604,87.400,6.2,0.2124
70,07/25/19 09:23:25 AM,18.033,20.913,75.000,11.2,0.2124
71,07/25/19 10:23:25 AM,18.152,22.657,66.600,13.7,0.2124
72,07/25/19 11:23:25 AM,18.319,24.074,62.000,18.7,0.2124
73,07/25/19 12:23:25 PM,18.509,25.525,59.600,18.7,0.2124
74,07/25/19 01:23:25 PM,18.699,26.061,57.200,28.7,0.2116
75,07/25/19 02:23:25 PM,18.913,26.256,55.700,28.7,0.2116
76,07/25/19 03:23:25 PM,19.080,26.109,54.700,28.7,0.2116
77,07/25/19 04:23:25 PM,19.246,25.671,57.400,13.7,0.2116
78,07/25/19 05:23:25 PM,19.365,25.258,60.400,26.2,0.2116
79,07/25/19 06:23:25 PM,19.484,24.798,58.300,3.7,0.2116
80,07/25/19 07:23:25 PM,19.532,23.930,58.500,1.2,0.2116
81,07/25/19 08:23:25 PM,19.555,22.776,59.200,1.2,0.2124
82,07/25/19 09:23:25 PM,19.555,21.199,73.000,1.2,0.2116
83,07/25/19 10:23:25 PM,19.532,20.412,80.300,1.2,0.2116
84,07/25/19 11:23:25 PM,19.460,19.841,82.100,1.2,0.2116
85,07/26/19 12:23:25 AM,19.389,18.937,86.000,1.2,0.2116
86,07/26/19 01:23:25 AM,19.294,19.294,87.200,1.2,0.2116
87,07/26/19 02:23:25 AM,19.222,17.986,87.400,1.2,0.2116
88,07/26/19 03:23:25 AM,19.127,17.748,90.100,1.2,0.2116
89,07/26/19 04:23:25 AM,19.056,17.582,90.700,1.2,0.2109
90,07/26/19 05:23:25 AM,18.961,17.486,91.900,1.2,0.2109
91,07/26/19 06:23:25 AM,18.866,17.677,91.500,1.2,0.2109
92,07/26/19 07:23:25 AM,18.794,19.103,87.600,1.2,0.2109
93,07/26/19 08:23:25 AM,18.771,20.412,85.700,6.2,0.2102
94,07/26/19 09:23:25 AM,18.794,21.437,81.900,11.2,0.2109
95,07/26/19 10:23:25 AM,18.842,22.011,80.300,11.2,0.2109
96,07/26/19 11:23:25 AM,18.937,24.002,79.000,18.7,0.2109
97,07/26/19 12:23:25 PM,19.056,24.871,74.000,23.7,0.2109
98,07/26/19 01:23:25 PM,19.222,25.866,73.100,23.7,0.2102
99,07/26/19 02:23:25 PM,19.389,26.109,68.800,23.7,0.2102
100,07/26/19 03:23:25 PM,19.555,26.012,71.300,16.2,0.2102
101,07/26/19 04:23:25 PM,19.698,26.280,69.000,16.2,0.2102
102,07/26/19 05:23:25 PM,19.817,26.036,68.400,13.7,0.2102
103,07/26/19 06:23:25 PM,19.912,26.134,69.400,3.7,0.2102
104,07/26/19 07:23:25 PM,19.984,25.040,70.100,1.2,0.2102
105,07/26/19 08:23:25 PM,20.031,24.460,68.600,1.2,0.2102
106,07/26/19 09:23:25 PM,20.031,23.930,71.300,1.2,0.2102
107,07/26/19 10:23:25 PM,20.031,23.208,72.900,1.2,0.2102
108,07/26/19 11:23:25 PM,20.007,22.872,78.100,1.2,0.2102
109,07/27/19 12:23:25 AM,19.984,22.776,78.600,1.2,0.2102
110,07/27/19 01:23:25 AM,19.960,22.178,79.800,1.2,0.2102
111,07/27/19 02:23:25 AM,19.912,21.581,81.100,1.2,0.2095
112,07/27/19 03:23:25 AM,19.865,21.103,82.100,1.2,0.2095
113,07/27/19 04:23:25 AM,19.793,21.056,82.300,1.2,0.2095
114,07/27/19 05:23:25 AM,19.722,20.770,82.300,1.2,0.2095
115,07/27/19 06:23:25 AM,19.674,20.746,84.000,1.2,0.2095
116,07/27/19 07:23:25 AM,19.603,21.819,84.000,1.2,0.2095
117,07/27/19 08:23:25 AM,19.579,23.064,80.700,8.7,0.2095
118,07/27/19 09:23:25 AM,19.627,23.930,76.100,16.2,0.2095
119,07/27/19 10:23:25 AM,19.698,25.525,73.500,13.7,0.2095
120,07/27/19 11:23:25 AM,19.817,26.671,68.800,18.7,0.2095
121,07/27/19 12:23:25 PM,19.960,27.875,65.400,21.2,0.2095
122,07/27/19 01:23:25 PM,20.126,28.543,64.100,18.7,0.2095
123,07/27/19 02:23:25 PM,20.317,28.866,63.400,23.7,0.2095
124,07/27/19 03:23:25 PM,20.484,28.419,62.600,31.2,0.2087
125,07/27/19 04:23:25 PM,20.627,27.998,64.900,11.2,0.2095
126,07/27/19 05:23:25 PM,20.722,27.825,64.500,11.2,0.2095
127,07/27/19 06:23:25 PM,20.817,27.063,66.400,3.7,0.2087
128,07/27/19 07:23:25 PM,20.865,26.622,68.300,1.2,0.2087
129,07/27/19 08:23:25 PM,20.865,25.623,69.900,1.2,0.2087
130,07/27/19 09:23:25 PM,20.865,24.823,73.700,1.2,0.2087
131,07/27/19 10:23:25 PM,20.841,24.339,74.800,1.2,0.2087
132,07/27/19 11:23:25 PM,20.770,24.267,73.700,1.2,0.2087
133,07/28/19 12:23:25 AM,20.722,23.689,75.200,1.2,0.2087
134,07/28/19 01:23:25 AM,20.674,23.256,77.700,1.2,0.2087
135,07/28/19 02:23:25 AM,20.603,22.824,80.700,1.2,0.2080
136,07/28/19 03:23:25 AM,20.555,22.393,83.700,1.2,0.2080
137,07/28/19 04:23:25 AM,20.507,21.748,86.500,1.2,0.2080
138,07/28/19 05:23:25 AM,20.436,21.413,88.600,1.2,0.2073
139,07/28/19 06:23:25 AM,20.365,21.390,90.000,1.2,0.2073
140,07/28/19 07:23:25 AM,20.317,21.987,89.500,1.2,0.2073
141,07/28/19 08:23:25 AM,20.269,23.304,87.600,6.2,0.2073
142,07/28/19 09:23:25 AM,20.293,25.016,82.400,13.7,0.2066
143,07/28/19 10:23:25 AM,20.365,26.353,77.300,16.2,0.2066
144,07/28/19 11:23:25 AM,20.507,27.677,72.800,16.2,0.2066
145,07/28/19 12:23:25 PM,20.650,28.717,68.000,18.7,0.2066
146,07/28/19 01:23:25 PM,20.817,27.875,67.100,16.2,0.2066
147,07/28/19 02:23:25 PM,20.960,29.115,65.600,23.7,0.2066
148,07/28/19 03:23:25 PM,21.103,28.593,62.000,23.7,0.2066
149,07/28/19 04:23:25 PM,21.223,28.766,61.800,13.7,0.2066
150,07/28/19 05:23:25 PM,21.318,28.221,61.600,11.2,0.2066
151,07/28/19 06:23:25 PM,21.366,27.481,63.100,3.7,0.2066
152,07/28/19 07:23:25 PM,21.366,26.916,66.200,1.2,0.2066
153,07/28/19 08:23:25 PM,21.366,26.256,69.600,1.2,0.2066
154,07/28/19 09:23:25 PM,21.366,25.501,71.000,1.2,0.2066
155,07/28/19 10:23:25 PM,21.318,25.040,74.000,1.2,0.2066
156,07/28/19 11:23:25 PM,21.270,24.532,75.400,1.2,0.2066
157,07/29/19 12:23:25 AM,21.223,24.098,77.600,1.2,0.2066
158,07/29/19 01:23:25 AM,21.175,23.978,79.500,1.2,0.2066
159,07/29/19 02:23:25 AM,21.103,23.954,78.200,1.2,0.2066
160,07/29/19 03:23:25 AM,21.032,23.833,78.200,1.2,0.2066
161,07/29/19 04:23:25 AM,20.984,23.448,80.400,1.2,0.2058
162,07/29/19 05:23:25 AM,20.913,23.256,82.200,1.2,0.2058
163,07/29/19 06:23:25 AM,20.865,22.130,84.300,1.2,0.1942
164,07/29/19 07:23:25 AM,20.817,21.676,94.900,1.2,0.1971
165,07/29/19 08:23:25 AM,20.770,21.843,96.800,1.2,0.2015
166,07/29/19 09:23:25 AM,20.746,21.963,97.400,1.2,0.2015
167,07/29/19 10:23:25 AM,20.722,22.369,97.600,3.7,0.2015
168,07/29/19 11:23:25 AM,20.698,22.321,97.800,1.2,0.2015
169,07/29/19 12:23:25 PM,20.722,22.681,97.800,6.2,0.1993
170,07/29/19 01:23:25 PM,20.746,22.226,98.000,8.7,0.1949
171,07/29/19 02:23:25 PM,20.770,23.256,98.000,16.2,0.1964
172,07/29/19 03:23:25 PM,20.841,24.726,94.600,13.7,0.1986
173,07/29/19 04:23:25 PM,20.913,23.352,89.500,6.2,0.1993
174,07/29/19 05:23:25 PM,20.984,23.160,95.000,6.2,0.1971
175,07/29/19 06:23:25 PM,20.984,23.785,96.700,3.7,0.1986
176,07/29/19 07:23:25 PM,21.008,22.729,95.300,1.2,0.2000
177,07/29/19 08:23:25 PM,20.984,21.056,92.300,1.2,0.2000
178,07/29/19 09:23:25 PM,20.913,20.293,92.300,1.2,0.2008
179,07/29/19 10:23:25 PM,20.793,19.770,93.300,1.2,0.2008
180,07/29/19 11:23:25 PM,20.650,19.127,96.100,1.2,0.2008
181,07/30/19 12:23:25 AM,20.531,18.913,97.700,1.2,0.2008
